GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
 	Percentile (%)	79.338	93.217	-	72.041	30.769	69.328
carbon-sulfur lyase activity	FC (WS / NS)	-0.12 (10.08 / 11.05)	-1.38 (2.58 / 8.34)	-0.4 (7.02 / 9.57)	-	-	-0.23 (6.39 / 7.67)
 	Percentile (%)	79.405	86.386	79.488	-	-	76.699
glucose-1-phosphate adenylyltransferase activity	FC (WS / NS)	-0.12 (6.25 / 6.88)	-	-0.23 (4.64 / 5.61)	0.01 (13.83 / 13.7)	0.12 (-6.08 / -5.67)	-0.11 (6.36 / 6.94)
 	Percentile (%)	79.472	-	73.586	40.523	32.503	71.054
lysine-tRNA ligase activity	FC (WS / NS)	-0.12 (6.81 / 7.49)	-0.13 (6.58 / 7.27)	-0.1 (6.89 / 7.43)	0.01 (13.04 / 12.93)	-0.03 (-9.22 / -9.41)	-0.08 (7.2 / 7.68)
 	Percentile (%)	79.572	62.455	65.175	40.813	50.813	68.788
exoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	-0.12 (8.94 / 9.81)	-	-	-	-	0.22 (7.02 / 5.91)
 	Percentile (%)	79.639	-	-	-	-	22.726
histidine-tRNA ligase activity	FC (WS / NS)	-0.12 (5.39 / 5.95)	-0.02 (5.52 / 5.63)	-	-0.6 (7.61 / 12)	-	-0.03 (5.95 / 6.1)
 	Percentile (%)	79.672	57.01	-	80.029	-	64.186
oxidoreductase activity, acting on the CH-NH2 group of donors	FC (WS / NS)	-0.12 (12.41 / 13.62)	-0.2 (9.42 / 10.99)	-0.19 (10.06 / 11.65)	0.03 (15.09 / 14.78)	-0.37 (-5.8 / -7.19)	-0.14 (8.79 / 9.81)
 	Percentile (%)	79.739	64.963	72.159	37.473	78.982	72.564
pyruvate synthase activity	FC (WS / NS)	-0.12 (9.94 / 10.93)	-	-0.15 (8.82 / 9.87)	0.86 (0.81 / 0)	-0.31 (-7.8 / -9.45)	-
 	Percentile (%)	79.773	-	69.995	9.223	76.165	-
2-oxoglutarate synthase activity	FC (WS / NS)	-0.12 (9.94 / 10.93)	-	0.24 (6.83 / 5.64)	0.86 (0.81 / 0)	-0.2 (-7.81 / -8.82)	0.16 (5.21 / 4.55)
 	Percentile (%)	79.806	-	20.315	9.441	66.414	26.645
modified amino acid binding	FC (WS / NS)	-0.12 (9.37 / 10.3)	-	-0.14 (7.87 / 8.8)	-	-	-0.25 (6.11 / 7.47)
 	Percentile (%)	79.84	-	69.798	-	-	77.382
FMN binding	FC (WS / NS)	-0.13 (12.23 / 13.44)	-0.45 (4.25 / 6.15)	-0.18 (9.04 / 10.36)	-0.19 (12.75 / 14.66)	-0.51 (-6.04 / -8.18)	-0.32 (7.12 / 9.11)
 	Percentile (%)	79.906	71.412	71.667	68.773	84.29	81.733
transketolase activity	FC (WS / NS)	-0.13 (7.79 / 8.61)	-0.03 (5 / 5.11)	-	-0.12 (8.18 / 8.98)	-	-0.14 (6.11 / 6.86)
 	Percentile (%)	79.94	57.392	-	64.125	-	72.708
carbohydrate derivative transmembrane transporter activity	FC (WS / NS)	-0.13 (7.59 / 8.4)	-0.15 (3.91 / 4.43)	-0.94 (3.32 / 7.29)	-	-	0.03 (6.07 / 5.91)
 	Percentile (%)	79.973	63.1	85.834	-	-	49.874
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	FC (WS / NS)	-0.13 (11.06 / 12.2)	0.02 (7.63 / 7.52)	-0.17 (7.58 / 8.63)	-	-	0.12 (6.49 / 5.88)
 	Percentile (%)	80.007	44.59	71.176	-	-	34.772
indolepyruvate ferredoxin oxidoreductase activity	FC (WS / NS)	-0.14 (9.83 / 10.91)	-	-	-	-	-
 	Percentile (%)	80.174	-	-	-	-	-
N-acetylmuramoyl-L-alanine amidase activity	FC (WS / NS)	-0.14 (7.23 / 8.05)	-	-0.46 (3.81 / 5.61)	-0.12 (8.22 / 9.04)	0.23 (-6.52 / -5.72)	-0.21 (5.09 / 6.03)
 	Percentile (%)	80.241	-	81.112	64.198	17.551	76.052
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	FC (WS / NS)	-0.14 (10.85 / 12.07)	-	-0.23 (9.36 / 11.12)	-0.02 (14.34 / 14.55)	-	-0.18 (8.39 / 9.64)
 	Percentile (%)	80.274	-	73.34	50.908	-	75.153
prenyltransferase activity	FC (WS / NS)	-0.14 (4.58 / 5.17)	-	-	-	-	-0.21 (3.46 / 4.15)
 	Percentile (%)	80.308	-	-	-	-	76.088
ammonia-lyase activity	FC (WS / NS)	-0.14 (11.39 / 12.69)	-0.06 (8.02 / 8.42)	-0.2 (8.42 / 9.84)	-0.29 (11.4 / 14.19)	0.17 (-2.57 / -2.4)	-0.17 (7.85 / 8.94)
 	Percentile (%)	80.341	59.804	72.651	71.968	24.919	74.146
macromolecule transmembrane transporter activity	FC (WS / NS)	-0.14 (8.73 / 9.75)	-	-	-2.63 (0 / 5.21)	-	-0.15 (5 / 5.66)
 	Percentile (%)	80.408	-	-	88.962	-	72.78
UMP kinase activity	FC (WS / NS)	-0.15 (5.58 / 6.29)	-0.35 (4.52 / 6.03)	-	-0.39 (10.21 / 13.73)	-	-0.08 (5.91 / 6.28)
 	Percentile (%)	80.475	69.549	-	77.705	-	68.141
sedoheptulose-bisphosphatase activity	FC (WS / NS)	-0.15 (4.95 / 5.61)	-	-	-	-	-
 	Percentile (%)	80.608	-	-	-	-	-
hydrolase activity, hydrolyzing N-glycosyl compounds	FC (WS / NS)	-0.15 (8.1 / 9.11)	0.12 (6.17 / 5.58)	-0.4 (5.29 / 7.27)	-	-	-0.26 (4.91 / 6.06)
 	Percentile (%)	80.642	32.792	79.439	-	-	77.526
site-specific DNA-methyltransferase (adenine-specific) activity	FC (WS / NS)	-0.15 (4.81 / 5.46)	-	-	-	-	-0.08 (3 / 3.23)
 	Percentile (%)	80.675	-	-	-	-	68.572
3'-5'-exoribonuclease activity	FC (WS / NS)	-0.15 (6.49 / 7.34)	-0.15 (6.46 / 7.25)	-	-2.81 (0 / 6)	0.01 (-11.77 / -11.72)	-
 	Percentile (%)	80.742	63.124	-	89.906	46.371	-
polyribonucleotide nucleotidyltransferase activity	FC (WS / NS)	-0.15 (6.49 / 7.34)	-0.14 (6.41 / 7.15)	-0.12 (6.58 / 7.25)	-0.14 (13.3 / 14.77)	0.01 (-9.77 / -9.72)	-0.14 (6.74 / 7.53)
 	Percentile (%)	80.776	62.837	68.126	66.594	45.72	72.384
calcium ion binding	FC (WS / NS)	-0.16 (9.13 / 10.29)	-0.26 (5.36 / 6.63)	-0.12 (8.32 / 9.12)	-2.06 (0 / 3.17)	-	-0.16 (5.91 / 6.73)
 	Percentile (%)	80.843	66.348	67.782	86.275	-	73.786
acetate kinase activity	FC (WS / NS)	-0.16 (7.08 / 8.02)	-0.98 (2 / 4.91)	-0.17 (6.75 / 7.73)	-0.22 (12.83 / 15.08)	-0.15 (-5.85 / -6.38)	-0.15 (7.16 / 8.07)
 	Percentile (%)	80.943	81.896	71.422	70.153	61.647	72.959
tryptophan-tRNA ligase activity	FC (WS / NS)	-0.16 (4.58 / 5.25)	-1.89 (0 / 2.71)	-	-0.67 (4.27 / 7.37)	-	-0.13 (4.81 / 5.36)
 	Percentile (%)	81.043	90.638	-	80.973	-	72.06
excinuclease ABC activity	FC (WS / NS)	-0.16 (5.17 / 5.91)	-0.54 (2 / 3.36)	-	-0.23 (9.81 / 11.71)	-	0.06 (5.46 / 5.19)
 	Percentile (%)	81.143	73.274	-	70.733	-	43.653
starch synthase activity	FC (WS / NS)	-0.17 (3.46 / 4)	-0.2 (3 / 3.61)	-	-0.04 (6.15 / 6.34)	-0.01 (-11.14 / -11.2)	-0.14 (3.81 / 4.3)
 	Percentile (%)	81.21	65.011	-	52.869	48.537	72.42
glutamine-scyllo-inositol transaminase activity	FC (WS / NS)	-0.17 (5.04 / 5.78)	-	-	-	-	-
 	Percentile (%)	81.244	-	-	-	-	-
L-glutamine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	-0.17 (5.04 / 5.78)	-	-	-	-	-
 	Percentile (%)	81.277	-	-	-	-	-
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	FC (WS / NS)	-0.17 (3.58 / 4.17)	-2.08 (0 / 3.23)	-1.2 (1 / 3.58)	-2.81 (0 / 6)	-0.1 (-10.65 / -11.36)	-1.17 (1 / 3.49)
 	Percentile (%)	81.411	91.665	87.85	90.051	58.18	94.534
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	FC (WS / NS)	-0.18 (4.25 / 4.95)	-1.1 (1.58 / 4.55)	-	0.01 (10.86 / 10.73)	-0.24 (-8.52 / -9.85)	-0.2 (4.25 / 5.03)
 	Percentile (%)	81.545	82.613	-	39.942	69.339	75.656
phosphotransferase activity, paired acceptors	FC (WS / NS)	-0.19 (8.15 / 9.41)	-	-0.19 (7.17 / 8.33)	-	0.09 (-6.23 / -5.9)	-0.21 (6.41 / 7.54)
 	Percentile (%)	81.645	-	72.061	-	36.295	75.98
phosphoenolpyruvate carboxykinase activity	FC (WS / NS)	-0.19 (9.06 / 10.47)	-0.09 (7.58 / 8.15)	-0.18 (7.74 / 8.88)	-0.21 (13.39 / 15.65)	-	-0.19 (6.98 / 8.09)
 	Percentile (%)	81.745	60.998	71.569	69.426	-	75.261
fructose 1,6-bisphosphate 1-phosphatase activity	FC (WS / NS)	-0.19 (6.58 / 7.65)	-0.19 (4.91 / 5.74)	-0.22 (5.09 / 6.07)	-3.54 (0 / 10.64)	-	-0.23 (5.36 / 6.46)
 	Percentile (%)	81.779	64.7	72.897	98.112	-	76.735
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	FC (WS / NS)	-0.19 (8.94 / 10.33)	-	-	-	-	0.15 (6.78 / 5.99)
 	Percentile (%)	81.812	-	-	-	-	27.58
methylcrotonoyl-CoA carboxylase activity	FC (WS / NS)	-0.19 (7.29 / 8.46)	-	-	0 (0 / 0)	-	1.14 (1 / -0.09)
 	Percentile (%)	81.946	-	-	43.936	-	4.207
propionyl-CoA carboxylase activity	FC (WS / NS)	-0.19 (7.29 / 8.46)	0.17 (7.73 / 6.76)	0.13 (6.54 / 5.88)	0.32 (3.98 / 3)	-0.25 (-8.1 / -9.42)	0.19 (6.17 / 5.3)
 	Percentile (%)	81.979	20.42	27.496	12.636	70.531	25.063
siderophore transmembrane transporter activity	FC (WS / NS)	-0.19 (4.17 / 4.91)	-	0.46 (4.25 / 2.81)	-	-	-
 	Percentile (%)	82.013	-	12.494	-	-	-
aldose 1-epimerase activity	FC (WS / NS)	-0.2 (2.32 / 2.81)	-	-	-2.93 (0 / 6.64)	-	-0.8 (1 / 2.49)
 	Percentile (%)	82.247	-	-	91.503	-	90.219
D-sedoheptulose 7-phosphate isomerase activity	FC (WS / NS)	-0.2 (3 / 3.58)	-2.08 (0 / 3.23)	-	2.27 (3.81 / 0)	-	-0.32 (3 / 3.99)
 	Percentile (%)	82.28	91.689	-	5.81	-	81.841
precorrin-4 C11-methyltransferase activity	FC (WS / NS)	-0.2 (3 / 3.58)	-	-	-	-	-0.18 (3.17 / 3.71)
 	Percentile (%)	82.314	-	-	-	-	75.117
GMP reductase activity	FC (WS / NS)	-0.2 (3.7 / 4.39)	-	-	0.02 (8.73 / 8.61)	-0.44 (-4.17 / -5.3)	0.66 (3.58 / 1.91)
 	Percentile (%)	82.38	-	-	39.361	82.015	9.385
IMP dehydrogenase activity	FC (WS / NS)	-0.2 (3.7 / 4.39)	0.26 (6.58 / 5.33)	-	0.04 (15.08 / 14.67)	-0.69 (-3.84 / -5.57)	-0.03 (7.18 / 7.33)
 	Percentile (%)	82.414	17.865	-	34.495	89.166	63.718
organic anion transmembrane transporter activity	FC (WS / NS)	-0.2 (10.3 / 11.97)	0 (6.58 / 6.61)	-	-0.52 (6.15 / 9.27)	-	0.05 (7.5 / 7.19)
 	Percentile (%)	82.447	55.242	-	79.666	-	45.595
isoleucine-tRNA ligase activity	FC (WS / NS)	-0.21 (6.19 / 7.3)	-2.13 (0 / 3.36)	-0.12 (6.63 / 7.3)	0.14 (9.88 / 8.86)	-	-0.12 (6.93 / 7.61)
 	Percentile (%)	82.615	92.023	68.224	18.882	-	71.377
DNA N-glycosylase activity	FC (WS / NS)	-0.21 (5.52 / 6.54)	0 (4.95 / 4.95)	-	-	-	-0.33 (3.17 / 4.23)
 	Percentile (%)	82.715	47.218	-	-	-	82.38
ornithine decarboxylase activity	FC (WS / NS)	-0.21 (7.59 / 8.93)	-0.29 (6.23 / 7.82)	-0.1 (7.46 / 8.06)	0.03 (12.31 / 12.01)	0.71 (-7.24 / -4.82)	0.05 (7.51 / 7.25)
 	Percentile (%)	82.748	67.041	65.47	35.948	4.334	47.141
arginine decarboxylase activity	FC (WS / NS)	-0.21 (7.59 / 8.93)	0.14 (0 / -0.09)	-2.68 (0 / 5.43)	-	0.71 (-7.24 / -4.82)	-
 	Percentile (%)	82.782	24.194	98.082	-	4.442	-
lysine decarboxylase activity	FC (WS / NS)	-0.21 (7.59 / 8.93)	-2.24 (0 / 3.71)	-1.7 (1.58 / 7.4)	-2 (0 / 3)	0.71 (-7.24 / -4.82)	-1.67 (1.58 / 7.24)
 	Percentile (%)	82.815	92.548	90.261	86.202	4.55	97.087
cysteine synthase activity	FC (WS / NS)	-0.21 (7.86 / 9.24)	-0.69 (1 / 2.23)	-0.2 (6.77 / 7.91)	-0.47 (9.58 / 13.67)	-	-0.34 (6.25 / 8.17)
 	Percentile (%)	82.849	75.066	72.455	79.375	-	82.704
pantetheine-phosphate adenylyltransferase activity	FC (WS / NS)	-0.21 (1.58 / 2)	-0.17 (1.58 / 1.91)	-	-	-	-0.71 (1.58 / 3.23)
 	Percentile (%)	82.982	64.032	-	-	-	89.608
endodeoxyribonuclease activity	FC (WS / NS)	-0.22 (8.82 / 10.4)	0.05 (6.25 / 5.99)	-	-0.22 (9.94 / 11.71)	-	0.14 (6.86 / 6.15)
 	Percentile (%)	83.049	39.169	-	70.08	-	33.549
1-deoxy-D-xylulose-5-phosphate synthase activity	FC (WS / NS)	-0.22 (5.91 / 7.02)	-	-2 (0 / 3)	-	-	-0.5 (2.58 / 4.08)
 	Percentile (%)	83.116	-	90.605	-	-	86.084
monooxygenase activity	FC (WS / NS)	-0.22 (6.38 / 7.6)	-	-	-	-	0.13 (7.86 / 7.1)
 	Percentile (%)	83.317	-	-	-	-	34.124
quinone binding	FC (WS / NS)	-0.22 (6.39 / 7.63)	-	-1.06 (1.58 / 4.39)	-3.21 (0 / 8.23)	-0.21 (-8.17 / -9.31)	-1.05 (2 / 5.19)
 	Percentile (%)	83.35	-	86.473	94.19	67.281	94.175
pyruvate, water dikinase activity	FC (WS / NS)	-0.23 (6.15 / 7.39)	0.24 (5.86 / 4.81)	0.21 (6.04 / 5.09)	0.07 (10.97 / 10.41)	0.07 (-7.82 / -7.49)	0.23 (6.25 / 5.19)
 	Percentile (%)	83.484	18.534	21.741	28.468	37.92	22.006
pyruvate, phosphate dikinase activity	FC (WS / NS)	-0.23 (6.15 / 7.39)	-	-1.16 (2.58 / 6.99)	-3.9 (0 / 13.88)	0.07 (-7.82 / -7.49)	-0.98 (3.17 / 7.23)
 	Percentile (%)	83.517	-	87.605	99.927	38.028	93.887
P-P-bond-hydrolysis-driven protein transmembrane transporter activity	FC (WS / NS)	-0.23 (6.49 / 7.79)	-	-	-2.63 (0 / 5.17)	-	-0.2 (4.7 / 5.55)
 	Percentile (%)	83.551	-	-	88.744	-	75.62
organic acid transmembrane transporter activity	FC (WS / NS)	-0.23 (10.05 / 11.97)	0.01 (6.57 / 6.53)	0.03 (9.14 / 8.93)	-0.64 (5.57 / 9.25)	-	0.02 (6.86 / 6.75)
 	Percentile (%)	83.584	46.31	44.909	80.828	-	53.578
L-serine ammonia-lyase activity	FC (WS / NS)	-0.23 (3.46 / 4.25)	-1.32 (0 / 1.49)	-0.41 (3.81 / 5.39)	-0.91 (4.51 / 9.34)	-	-0.16 (3.91 / 4.49)
 	Percentile (%)	83.618	84.094	79.98	82.426	-	73.858
glycerol dehydratase activity	FC (WS / NS)	-0.24 (7.71 / 9.27)	-	-0.37 (5 / 6.75)	-0.63 (5.14 / 8.49)	-	-0.32 (5.7 / 7.39)
 	Percentile (%)	83.651	-	78.997	80.61	-	82.273
propanediol dehydratase activity	FC (WS / NS)	-0.24 (7.71 / 9.27)	-	-0.33 (5.95 / 7.75)	0 (0 / 0)	-	-0.66 (4.09 / 7.01)
 	Percentile (%)	83.684	-	77.914	45.389	-	88.601
3-hydroxyacyl-CoA dehydrogenase activity	FC (WS / NS)	-0.24 (6.29 / 7.6)	-	-2.74 (0 / 5.7)	-3.74 (0 / 12.32)	-0.19 (-9.1 / -10.24)	-0.8 (3.17 / 6.28)
 	Percentile (%)	83.751	-	98.623	98.838	65.222	90.543
enoyl-CoA hydratase activity	FC (WS / NS)	-0.24 (6.29 / 7.6)	-	1.14 (4.7 / 1.58)	0.26 (3.98 / 3.17)	-0.19 (-9.1 / -10.24)	0.98 (5.36 / 2.23)
 	Percentile (%)	83.785	-	7.132	13.725	65.439	6.94
folic acid binding	FC (WS / NS)	-0.24 (6.78 / 8.21)	-	-0.35 (5.43 / 7.21)	-0.23 (9.51 / 11.36)	-0.33 (-6.91 / -8.43)	-0.26 (5.52 / 6.79)
 	Percentile (%)	83.852	-	78.751	70.661	76.49	77.418
glutamate formimidoyltransferase activity	FC (WS / NS)	-0.24 (6.78 / 8.21)	1.93 (2.81 / 0)	-0.32 (5.43 / 7.04)	-0.03 (7.53 / 7.71)	-0.25 (-8.91 / -10.43)	-0.26 (5.52 / 6.79)
 	Percentile (%)	83.885	2.054	77.619	52.215	71.723	77.454
formimidoyltetrahydrofolate cyclodeaminase activity	FC (WS / NS)	-0.24 (6.78 / 8.21)	-0.44 (2.81 / 4.15)	-2.6 (0 / 5.04)	1.49 (1.81 / 0)	-0.25 (-8.91 / -10.43)	-0.28 (3.46 / 4.43)
 	Percentile (%)	83.918	71.244	97.393	7.625	71.831	78.209
DNA primase activity	FC (WS / NS)	-0.25 (3.81 / 4.7)	1.14 (1 / -0.09)	-	2.63 (5.21 / 0)	-	0.74 (3.17 / 1.49)
 	Percentile (%)	83.952	5.875	-	4.503	-	8.486
restriction endodeoxyribonuclease activity	FC (WS / NS)	-0.25 (4.32 / 5.32)	0.14 (0 / -0.09)	-1.26 (1.58 / 5.17)	-	-	-0.41 (2.81 / 4.08)
 	Percentile (%)	84.052	25.245	88.244	-	-	84.106
carboxylic acid transmembrane transporter activity	FC (WS / NS)	-0.25 (9.36 / 11.32)	0 (6.27 / 6.28)	0.03 (8.95 / 8.71)	-0.64 (5.57 / 9.25)	-	0.02 (6.86 / 6.75)
 	Percentile (%)	84.086	55.171	44.22	80.901	-	53.614
RNA-DNA hybrid ribonuclease activity	FC (WS / NS)	-0.26 (2 / 2.58)	0.14 (0 / -0.09)	-	-	-	0.09 (3.17 / 2.91)
 	Percentile (%)	84.219	22.403	-	-	-	37.433
xylan 1,4-beta-xylosidase activity	FC (WS / NS)	-0.26 (2 / 2.58)	-	-	-	-	-
 	Percentile (%)	84.253	-	-	-	-	-
cobyrinic acid a,c-diamide synthase activity	FC (WS / NS)	-0.26 (2 / 2.58)	-	-	-0.14 (0.81 / 1)	-	0.03 (3 / 2.91)
 	Percentile (%)	84.286	-	-	66.521	-	49.407
formate-tetrahydrofolate ligase activity	FC (WS / NS)	-0.26 (6.73 / 8.28)	-0.39 (2.32 / 3.36)	-0.31 (5.64 / 7.22)	-0.16 (7.94 / 8.98)	-	-0.3 (5.81 / 7.41)
 	Percentile (%)	84.386	70.289	76.931	67.102	-	78.785
methylenetetrahydrofolate dehydrogenase (NADP+) activity	FC (WS / NS)	-0.26 (6.73 / 8.28)	1.58 (2 / 0)	-0.27 (5.86 / 7.27)	-	-	-0.06 (4.09 / 4.3)
 	Percentile (%)	84.42	3.415	74.914	-	-	66.523
DNA ligase activity	FC (WS / NS)	-0.26 (5.58 / 6.91)	-	-	-	-	-0.34 (4.52 / 5.97)
 	Percentile (%)	84.52	-	-	-	-	82.56
5S rRNA binding	FC (WS / NS)	-0.27 (5 / 6.25)	-	-0.44 (3.91 / 5.64)	-1 (0 / 1)	0.12 (-8.33 / -7.74)	-2.41 (0 / 4.3)
 	Percentile (%)	84.587	-	80.767	82.643	32.936	99.461
pantothenate kinase activity	FC (WS / NS)	-0.28 (3.58 / 4.58)	-	-	-	-	-0.44 (2 / 3.08)
 	Percentile (%)	84.654	-	-	-	-	84.933
GTP cyclohydrolase II activity	FC (WS / NS)	-0.29 (4.58 / 5.81)	0.14 (0 / -0.09)	-0.33 (3.7 / 4.91)	-	-	-0.32 (3.91 / 5.11)
 	Percentile (%)	84.721	22.164	77.767	-	-	81.769
3,4-dihydroxy-2-butanone-4-phosphate synthase activity	FC (WS / NS)	-0.29 (4.58 / 5.81)	-	-	-	-	-0.35 (3.81 / 5.11)
 	Percentile (%)	84.754	-	-	-	-	82.848
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	FC (WS / NS)	-0.29 (4.7 / 5.95)	-	-	-	-	-
 	Percentile (%)	84.788	-	-	-	-	-
iron ion transmembrane transporter activity	FC (WS / NS)	-0.29 (6.93 / 8.69)	-1.27 (1 / 3.81)	-	-	-	-0.47 (3.46 / 5.19)
 	Percentile (%)	84.821	83.401	-	-	-	85.509
beta-ketoacyl-acyl-carrier-protein synthase III activity	FC (WS / NS)	-0.29 (3.91 / 5)	-	-0.33 (4 / 5.29)	-0.51 (4.98 / 7.49)	-	-0.37 (3.91 / 5.33)
 	Percentile (%)	84.888	-	77.865	79.521	-	83.243
transferase activity, transferring sulfur-containing groups	FC (WS / NS)	-0.29 (11.28 / 14.05)	-0.07 (9.76 / 10.3)	-0.4 (7.96 / 10.85)	-	-	-0.38 (7.26 / 9.77)
 	Percentile (%)	84.988	60.33	79.685	-	-	83.495
endodeoxyribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	-0.31 (6.91 / 8.81)	-	-	-	-	0.27 (5.91 / 4.71)
 	Percentile (%)	85.189	-	-	-	-	19.274
riboflavin reductase (NADPH) activity	FC (WS / NS)	-0.32 (5.21 / 6.75)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	85.256	8.479	-	-	-	-
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor	FC (WS / NS)	-0.32 (6.46 / 8.34)	-0.58 (4.91 / 7.85)	-0.27 (6.61 / 8.17)	-	-	-
 	Percentile (%)	85.289	73.704	74.865	-	-	-
porin activity	FC (WS / NS)	-0.34 (6.32 / 8.25)	-0.76 (3.46 / 6.55)	-0.15 (8.13 / 9.13)	-2.93 (0 / 6.63)	-	-
 	Percentile (%)	85.557	75.925	70.241	91.431	-	-
cystathionine beta-synthase activity	FC (WS / NS)	-0.34 (6.23 / 8.16)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	85.59	-	-	-	-	29.953
asparagine-tRNA ligase activity	FC (WS / NS)	-0.34 (4.52 / 6)	-0.3 (4.39 / 5.66)	-0.26 (5 / 6.21)	-3.64 (0 / 11.49)	-	-0.21 (5.29 / 6.28)
 	Percentile (%)	85.657	67.542	74.766	98.33	-	76.16
mismatched DNA binding	FC (WS / NS)	-0.35 (5.17 / 6.87)	-1.69 (0 / 2.23)	-0.43 (3.81 / 5.46)	-0.78 (6.02 / 11.09)	-	-0.2 (5 / 5.88)
 	Percentile (%)	85.791	89.229	80.571	81.917	-	75.584
tRNA-specific ribonuclease activity	FC (WS / NS)	-0.35 (2.58 / 3.58)	-	-	-	-	-
 	Percentile (%)	85.824	-	-	-	-	-
tRNA nucleotidyltransferase activity	FC (WS / NS)	-0.35 (2.58 / 3.58)	-0.32 (2.58 / 3.49)	-	-2.81 (0 / 6)	-	-0.31 (2.81 / 3.71)
 	Percentile (%)	85.858	68.88	-	90.123	-	79.144
organic cation transmembrane transporter activity	FC (WS / NS)	-0.36 (5.32 / 7.09)	-	-	-3.5 (0 / 10.29)	-	-0.57 (3.46 / 5.63)
 	Percentile (%)	85.958	-	-	97.458	-	87.918
phosphoenolpyruvate carboxykinase (ATP) activity	FC (WS / NS)	-0.36 (6.64 / 8.8)	-0.28 (5.7 / 7.12)	-0.4 (5.64 / 7.77)	-0.22 (13.28 / 15.65)	0.2 (-5.44 / -4.87)	-0.39 (5.83 / 7.94)
 	Percentile (%)	86.025	66.802	79.587	70.225	21.452	83.639
queuine tRNA-ribosyltransferase activity	FC (WS / NS)	-0.36 (1.58 / 2.32)	-1.32 (0 / 1.49)	-	2.45 (4.46 / 0)	-	-0.38 (2 / 2.91)
 	Percentile (%)	86.058	84.834	-	5.229	-	83.351
di-trans,poly-cis-decaprenylcistransferase activity	FC (WS / NS)	-0.36 (1.58 / 2.32)	-	-	-	-	-
 	Percentile (%)	86.092	-	-	-	-	-
transposase activity	FC (WS / NS)	-0.37 (3.58 / 4.91)	-0.93 (0 / 0.91)	-	-	-	-0.33 (3.7 / 4.91)
 	Percentile (%)	86.225	77.836	-	-	-	82.488
adenosine kinase activity	FC (WS / NS)	-0.37 (1 / 1.58)	-	-	-	-	-
 	Percentile (%)	86.326	-	-	-	-	-
ribokinase activity	FC (WS / NS)	-0.37 (1 / 1.58)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	86.359	22.498	-	-	-	-
riboflavin kinase activity	FC (WS / NS)	-0.37 (1 / 1.58)	-	-	-	-	-0.8 (1 / 2.49)
 	Percentile (%)	86.393	-	-	-	-	90.327
asparaginase activity	FC (WS / NS)	-0.37 (3.17 / 4.39)	-0.31 (2.81 / 3.71)	-	-	-	-0.3 (3.46 / 4.49)
 	Percentile (%)	86.459	67.71	-	-	-	78.641
methenyltetrahydrofolate cyclohydrolase activity	FC (WS / NS)	-0.37 (4.7 / 6.39)	1.58 (2 / 0)	-0.24 (6.02 / 7.29)	-0.3 (-0.19 / 0)	-	0.2 (4.64 / 3.91)
 	Percentile (%)	86.493	3.391	73.93	72.694	-	23.517
urocanate hydratase activity	FC (WS / NS)	-0.38 (5.64 / 7.65)	-0.03 (3 / 3.08)	-0.32 (5.64 / 7.31)	-0.47 (10.66 / 15.11)	0.06 (-12 / -11.53)	-0.32 (5.98 / 7.69)
 	Percentile (%)	86.593	57.344	77.57	79.085	39.22	79.324
DNA ligase (NAD+) activity	FC (WS / NS)	-0.38 (3.46 / 4.81)	-0.32 (3.46 / 4.55)	-0.33 (3.7 / 4.91)	-3.2 (0 / 8.17)	-	-0.33 (4 / 5.3)
 	Percentile (%)	86.627	67.805	77.718	93.9	-	82.524
amino acid transmembrane transporter activity	FC (WS / NS)	-0.38 (7.71 / 10.35)	0.08 (5.78 / 5.43)	0.05 (8.72 / 8.36)	-0.62 (5.57 / 9.1)	-	0.03 (6.69 / 6.55)
 	Percentile (%)	86.66	35.515	40.138	80.392	-	52.032
3-deoxy-8-phosphooctulonate synthase activity	FC (WS / NS)	-0.39 (3 / 4.25)	-0.32 (3 / 3.99)	-	-	-	-0.26 (3.81 / 4.76)
 	Percentile (%)	86.727	68.665	-	-	-	77.634
polyamine transmembrane transporter activity	FC (WS / NS)	-0.4 (5.58 / 7.67)	-0.63 (3.91 / 6.62)	-	-3.5 (0 / 10.29)	-	-0.54 (3.81 / 5.97)
 	Percentile (%)	86.794	74.349	-	97.531	-	86.516
FMN adenylyltransferase activity	FC (WS / NS)	-0.42 (2 / 3)	-	-	-	-	-0.8 (1 / 2.49)
 	Percentile (%)	86.861	-	-	-	-	90.183
