GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
 	Percentile (%)	76.22	43.687	-	39.556	-	27.168
protein homodimerization activity	FC (WS / NS)	-0.46 (9.13 / 12.93)	-0.21 (4.64 / 5.55)	-	0.06 (8.84 / 8.44)	-	0.15 (6.54 / 5.81)
 	Percentile (%)	76.266	60.957	-	39.587	-	29.198
urocanate hydratase activity	FC (WS / NS)	-0.47 (10.66 / 15.11)	-0.03 (3 / 3.08)	-0.38 (5.64 / 7.65)	-0.32 (5.64 / 7.31)	0.06 (-12 / -11.53)	-0.32 (5.98 / 7.69)
 	Percentile (%)	76.36	54.108	84.115	74.444	36.911	77.168
adenyl-nucleotide exchange factor activity	FC (WS / NS)	-0.47 (7.73 / 11.09)	-	0.17 (6.02 / 5.25)	0.17 (5.98 / 5.21)	-	0.24 (6.43 / 5.3)
 	Percentile (%)	76.454	-	26.207	25.397	-	22.782
chaperone binding	FC (WS / NS)	-0.47 (7.73 / 11.09)	0.07 (1 / 0.91)	-	-0.1 (7.85 / 8.46)	-	0.26 (7.14 / 5.81)
 	Percentile (%)	76.501	37.351	-	61.524	-	21.779
nucleoside-triphosphatase regulator activity	FC (WS / NS)	-0.47 (7.73 / 11.09)	-0.07 (5.43 / 5.74)	0.1 (8.87 / 8.23)	0.14 (7.56 / 6.79)	-	0.22 (6.57 / 5.52)
 	Percentile (%)	76.548	56.484	32.113	27.873	-	24.085
ATPase regulator activity	FC (WS / NS)	-0.47 (7.73 / 11.09)	-0.1 (4.32 / 4.71)	0.14 (7.65 / 6.83)	0.15 (6.98 / 6.21)	-	0.24 (6.46 / 5.33)
 	Percentile (%)	76.595	57.338	28.061	26.667	-	22.857
cysteine synthase activity	FC (WS / NS)	-0.47 (9.58 / 13.67)	-0.69 (1 / 2.23)	-0.21 (7.86 / 9.24)	-0.2 (6.77 / 7.91)	-	-0.34 (6.25 / 8.17)
 	Percentile (%)	76.876	71.548	80.728	68.603	-	81.028
C-methyltransferase activity	FC (WS / NS)	-0.47 (5.43 / 7.92)	0.24 (6.29 / 5.15)	0.16 (7.97 / 7.02)	0.46 (7.17 / 4.95)	-	0.25 (5.64 / 4.61)
 	Percentile (%)	76.923	22.333	26.619	12.952	-	22.281
beta-ketoacyl-acyl-carrier-protein synthase III activity	FC (WS / NS)	-0.51 (4.98 / 7.49)	-	-0.29 (3.91 / 5)	-0.33 (4 / 5.29)	-	-0.37 (3.91 / 5.33)
 	Percentile (%)	77.158	-	82.673	74.857	-	81.479
organic anion transmembrane transporter activity	FC (WS / NS)	-0.52 (6.15 / 9.27)	0 (6.58 / 6.61)	-0.2 (10.3 / 11.97)	0.03 (8.95 / 8.71)	-0.01 (-7.39 / -7.45)	0.05 (7.5 / 7.19)
 	Percentile (%)	77.251	52.415	80.43	44.73	48.586	47.068
succinate dehydrogenase activity	FC (WS / NS)	-0.54 (7.78 / 11.8)	-0.59 (3.7 / 6.06)	-0.01 (10.59 / 10.68)	-0.25 (6.58 / 8)	-0.79 (-3.31 / -5)	-0.13 (7.52 / 8.29)
 	Percentile (%)	77.392	70.182	67.796	70.635	91.661	69.975
secondary active transmembrane transporter activity	FC (WS / NS)	-0.57 (5.9 / 9.24)	0.13 (7.8 / 7.02)	0.03 (15.81 / 15.41)	-0.16 (8.09 / 9.16)	-0.18 (-4.16 / -4.59)	-0.06 (6.7 / 7.02)
 	Percentile (%)	77.814	33.266	41.497	67.206	63.669	64.937
omega peptidase activity	FC (WS / NS)	-0.58 (3.62 / 5.91)	-	-0.03 (4.7 / 4.81)	-	-	-0.04 (4.17 / 4.3)
 	Percentile (%)	77.861	-	71.641	-	-	63.158
histidine-tRNA ligase activity	FC (WS / NS)	-0.6 (7.61 / 12)	-0.02 (5.52 / 5.63)	-0.12 (5.39 / 5.95)	-	-	-0.03 (5.95 / 6.1)
 	Percentile (%)	77.908	53.797	77.661	-	-	62.757
ribulose-phosphate 3-epimerase activity	FC (WS / NS)	-0.6 (5.3 / 8.55)	-1.32 (0 / 1.49)	-0.04 (3.58 / 3.7)	-	-0.01 (-8.01 / -8.07)	0.06 (4 / 3.81)
 	Percentile (%)	78.096	83.305	72.465	-	48.513	46.04
ATP-dependent peptidase activity	FC (WS / NS)	-0.62 (7.3 / 11.74)	-0.4 (4 / 5.58)	0.24 (10.82 / 9.04)	0.06 (7.92 / 7.58)	-0.28 (-7.51 / -8.91)	-0.36 (4.81 / 6.43)
 	Percentile (%)	78.143	66.097	22.271	40.159	74.184	81.303
amino acid transmembrane transporter activity	FC (WS / NS)	-0.62 (5.57 / 9.1)	0.08 (5.78 / 5.43)	-0.38 (7.71 / 10.35)	0.05 (8.72 / 8.36)	-	0.03 (6.69 / 6.55)
 	Percentile (%)	78.283	36.139	84.161	41.079	-	52.607
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.62 (4.9 / 8.09)	-1.32 (0 / 1.49)	-0.04 (6.7 / 6.91)	-	-	-0.03 (6.07 / 6.23)
 	Percentile (%)	78.33	83.227	72.694	-	-	63.008
nickel cation binding	FC (WS / NS)	-0.62 (7.26 / 11.72)	-0.1 (3.81 / 4.15)	0.13 (10.49 / 9.53)	0.15 (6.75 / 6)	0.26 (-9.39 / -8.03)	0.15 (6.88 / 6.11)
 	Percentile (%)	78.377	57.26	29.366	26.476	15.228	29.148
glycerol dehydratase activity	FC (WS / NS)	-0.63 (5.14 / 8.49)	-	-0.24 (7.71 / 9.27)	-0.37 (5 / 6.75)	-	-0.32 (5.7 / 7.39)
 	Percentile (%)	78.424	-	81.483	76.19	-	80.652
S-ribosylhomocysteine lyase activity	FC (WS / NS)	-0.64 (5.79 / 9.56)	-1.8 (0 / 2.49)	0.21 (3.81 / 3.17)	-	-	0.18 (4.09 / 3.49)
 	Percentile (%)	78.705	89.284	24.308	-	-	26.792
organic acid transmembrane transporter activity	FC (WS / NS)	-0.64 (5.57 / 9.25)	0.01 (6.57 / 6.53)	-0.23 (10.05 / 11.97)	0.03 (9.14 / 8.93)	-	0.02 (6.86 / 6.75)
 	Percentile (%)	78.94	45.784	81.392	45.27	-	53.835
carboxylic acid transmembrane transporter activity	FC (WS / NS)	-0.64 (5.57 / 9.25)	0 (6.27 / 6.28)	-0.25 (9.36 / 11.32)	0.03 (8.95 / 8.71)	-	0.02 (6.86 / 6.75)
 	Percentile (%)	78.987	52.322	81.849	44.762	-	53.86
tryptophan-tRNA ligase activity	FC (WS / NS)	-0.67 (4.27 / 7.37)	-1.89 (0 / 2.71)	-0.16 (4.58 / 5.25)	-	-	-0.13 (4.81 / 5.36)
 	Percentile (%)	79.081	90.2	79.126	-	-	70.251
phosphatase activity	FC (WS / NS)	-0.68 (6.32 / 10.74)	-0.06 (7.91 / 8.26)	0.02 (12.03 / 11.89)	-0.07 (7.61 / 8.04)	-0.01 (-9.4 / -9.43)	-0.07 (7.5 / 7.91)
 	Percentile (%)	79.174	55.925	46.899	58.19	46.773	65.564
enzyme regulator activity	FC (WS / NS)	-0.68 (7.99 / 13.42)	-0.27 (7.98 / 9.83)	0.06 (11.61 / 11.09)	-0.32 (8.18 / 10.46)	-	-0.09 (7.18 / 7.71)
 	Percentile (%)	79.221	62.448	36.439	74.254	-	67.519
molecular function regulator	FC (WS / NS)	-0.68 (7.99 / 13.42)	-0.28 (7.99 / 9.89)	0.06 (11.61 / 11.09)	-0.3 (8.56 / 10.77)	-	-0.1 (7.22 / 7.79)
 	Percentile (%)	79.268	62.572	36.461	73.492	-	68.17
metalloexopeptidase activity	FC (WS / NS)	-0.68 (8.21 / 13.8)	-2.75 (0 / 5.74)	-0.1 (9.66 / 10.44)	-0.4 (6.21 / 8.54)	0.01 (-10.33 / -10.28)	-0.24 (6.48 / 7.82)
 	Percentile (%)	79.315	97.173	76.677	76.825	44.888	75.163
phenylalanine-tRNA ligase activity	FC (WS / NS)	-0.69 (8.02 / 13.56)	0 (6.86 / 6.87)	0.02 (8.53 / 8.39)	-	-	0.08 (7.79 / 7.34)
 	Percentile (%)	79.362	52.275	45.502	-	-	41.253
branched-chain-amino-acid transaminase activity	FC (WS / NS)	-0.69 (7.17 / 12.2)	-2.46 (0 / 4.49)	0.21 (8.75 / 7.46)	0.16 (8.26 / 7.27)	-	0.21 (8.25 / 6.97)
 	Percentile (%)	79.456	93.415	24.193	25.587	-	24.211
phosphoric ester hydrolase activity	FC (WS / NS)	-0.7 (6.35 / 10.96)	-0.07 (8.79 / 9.29)	-0.02 (13.8 / 14.01)	-0.09 (8.89 / 9.54)	-0.06 (-5.04 / -5.2)	-0.14 (7.97 / 8.91)
 	Percentile (%)	79.55	56.608	70.359	60.984	51.994	70.652
metalloaminopeptidase activity	FC (WS / NS)	-0.71 (8.04 / 13.77)	0.14 (0 / -0.09)	-	-0.48 (4.32 / 6.41)	-	-0.51 (4.25 / 6.49)
 	Percentile (%)	79.597	31.977	-	78.73	-	84.762
oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	FC (WS / NS)	-0.72 (5.02 / 8.89)	-0.69 (3.32 / 5.95)	0.04 (9.62 / 9.35)	-0.1 (3.91 / 4.25)	-	0.14 (6.85 / 6.11)
 	Percentile (%)	79.644	71.486	40.948	61.873	-	34.837
ferredoxin-NADP+ reductase activity	FC (WS / NS)	-0.73 (0.81 / 2)	-	0.14 (7.01 / 6.29)	0.58 (5 / 3)	-	0.52 (4 / 2.49)
 	Percentile (%)	79.69	-	28.473	11.46	-	12.456
ferredoxin-NAD(P) reductase activity	FC (WS / NS)	-0.73 (0.81 / 2)	-	0.14 (7.01 / 6.29)	0.58 (5 / 3)	-	0.52 (4 / 2.49)
 	Percentile (%)	79.737	-	28.496	11.492	-	12.481
oxidoreductase activity, acting on iron-sulfur proteins as donors	FC (WS / NS)	-0.73 (0.81 / 2)	0 (0 / 0)	0.12 (10.72 / 9.76)	0.44 (6.6 / 4.58)	-0.13 (-7.76 / -8.39)	0.45 (4.09 / 2.71)
 	Percentile (%)	79.784	48.346	29.503	13.206	59.318	14.261
oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor	FC (WS / NS)	-0.73 (0.81 / 2)	-	0.12 (8.01 / 7.29)	0.49 (6 / 4)	-	0.52 (4 / 2.49)
 	Percentile (%)	79.831	-	29.732	12.54	-	12.506
double-stranded DNA binding	FC (WS / NS)	-0.78 (6.02 / 11.09)	-0.25 (5.73 / 7)	-0.12 (8.24 / 9.01)	0.08 (7.92 / 7.41)	-	-0.01 (6.3 / 6.35)
 	Percentile (%)	79.972	62.075	77.249	35.111	-	60.05
mismatched DNA binding	FC (WS / NS)	-0.78 (6.02 / 11.09)	-1.69 (0 / 2.23)	-0.35 (5.17 / 6.87)	-0.43 (3.81 / 5.46)	-	-0.2 (5 / 5.88)
 	Percentile (%)	80.066	88.492	83.474	77.683	-	73.684
amine-lyase activity	FC (WS / NS)	-0.8 (6.67 / 12.39)	-0.58 (3.81 / 6.21)	0.77 (5.49 / 2.81)	-0.37 (5.09 / 6.86)	-	-0.48 (4.25 / 6.33)
 	Percentile (%)	80.113	70.151	13.344	76.159	-	84.06
pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity	FC (WS / NS)	-0.8 (6.67 / 12.39)	-	-	-0.43 (4.09 / 5.86)	-	-0.48 (4.25 / 6.33)
 	Percentile (%)	80.159	-	-	77.778	-	84.085
tyrosine phenol-lyase activity	FC (WS / NS)	-0.83 (7.62 / 14.34)	-	-2.28 (1 / 8.74)	-2.07 (1 / 7.42)	-	-2.14 (1 / 7.83)
 	Percentile (%)	80.535	-	97.665	90.667	-	99.023
carbohydrate derivative transmembrane transporter activity	FC (WS / NS)	-0.86 (4.57 / 9.13)	-0.15 (3.91 / 4.43)	-0.13 (7.59 / 8.4)	-0.94 (3.32 / 7.29)	-0.01 (-7.39 / -7.45)	0.03 (6.07 / 5.91)
 	Percentile (%)	80.582	59.077	77.958	84.159	49.021	50.677
tRNA dihydrouridine synthase activity	FC (WS / NS)	-0.86 (3.27 / 6.78)	0.91 (2.58 / 0.91)	0.73 (2.32 / 1)	-	-	0.37 (3.81 / 2.71)
 	Percentile (%)	80.629	12.285	13.642	-	-	17.118
L-serine ammonia-lyase activity	FC (WS / NS)	-0.91 (4.51 / 9.34)	-1.32 (0 / 1.49)	-0.23 (3.46 / 4.25)	-0.41 (3.81 / 5.39)	-	-0.16 (3.91 / 4.49)
 	Percentile (%)	80.722	83.196	81.437	77.143	-	71.88
biotin carboxylase activity	FC (WS / NS)	-0.91 (2.81 / 6.17)	-2.34 (0 / 4.08)	-0.01 (11.44 / 11.54)	-	-0.24 (-4.9 / -5.61)	0.47 (7.81 / 5.36)
 	Percentile (%)	80.769	92.965	68.322	-	68.891	13.91
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	FC (WS / NS)	-0.96 (5.81 / 12.27)	-0.45 (4.09 / 5.95)	-0.05 (8.34 / 8.68)	-0.1 (7.68 / 8.29)	-	-0.15 (5.83 / 6.61)
 	Percentile (%)	80.816	67.324	73.495	61.937	-	71.103
3-hydroxybutyryl-CoA dehydratase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	81.051	-	-	-	-	-
5S rRNA binding	FC (WS / NS)	-1 (0 / 1)	-	-0.27 (5 / 6.25)	-0.44 (3.91 / 5.64)	0.12 (-8.33 / -7.74)	-2.41 (0 / 4.3)
 	Percentile (%)	81.098	-	82.376	77.905	30.674	99.373
lactaldehyde dehydrogenase activity	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	-	-	-	-0.01 (4.86 / 4.91)
 	Percentile (%)	81.144	27.287	-	-	-	60.501
iron-chelate-transporting ATPase activity	FC (WS / NS)	-1 (0 / 1)	-	0 (0 / 0)	-	-	0.69 (3.7 / 1.91)
 	Percentile (%)	81.191	-	58	-	-	9.85
O-acetyltransferase activity	FC (WS / NS)	-1 (0 / 1)	-0.93 (0 / 0.91)	-1.84 (0 / 2.58)	-	-	-1.89 (0 / 2.71)
 	Percentile (%)	81.238	76.192	95.926	-	-	98.271
phosphopantetheine binding	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	0.31 (6.46 / 5)	-1.51 (1 / 4.7)	-	-0.35 (4.52 / 6.06)
 	Percentile (%)	81.285	29.042	19.432	88.508	-	81.228
beta-alanyl-CoA ammonia-lyase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	81.426	-	-	-	-	-
ferric dicitrate transporter activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	0.69 (3.7 / 1.91)
 	Percentile (%)	81.473	-	-	-	-	9.875
transferase activity, transferring sulfur-containing groups	FC (WS / NS)	-1 (7.14 / 15.29)	-0.07 (9.76 / 10.3)	-0.29 (11.28 / 14.05)	-0.4 (7.96 / 10.85)	-	-0.38 (7.26 / 9.77)
 	Percentile (%)	81.52	56.593	82.742	76.794	-	81.679
L-leucine transaminase activity	FC (WS / NS)	-1.05 (4.62 / 10.61)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-	0.22 (6.41 / 5.36)
 	Percentile (%)	81.614	-	21.332	23.238	-	23.684
L-valine transaminase activity	FC (WS / NS)	-1.05 (4.62 / 10.61)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-	0.22 (6.41 / 5.36)
 	Percentile (%)	81.66	-	21.355	23.27	-	23.709
L-isoleucine transaminase activity	FC (WS / NS)	-1.05 (4.62 / 10.61)	-	0.26 (6.75 / 5.46)	0.21 (6.21 / 5.25)	-	0.22 (6.41 / 5.36)
 	Percentile (%)	81.707	-	21.378	23.302	-	23.734
carbon-sulfur lyase activity	FC (WS / NS)	-1.06 (5.79 / 13.12)	-1.38 (2.58 / 8.34)	-0.12 (10.08 / 11.05)	-0.4 (7.02 / 9.57)	-	-0.23 (6.39 / 7.67)
 	Percentile (%)	81.848	84.811	77.478	76.667	-	74.762
ATP-dependent DNA helicase activity	FC (WS / NS)	-1.1 (4.9 / 11.69)	-0.04 (4 / 4.15)	-0.11 (7.71 / 8.41)	-	-	-0.05 (5.67 / 5.91)
 	Percentile (%)	81.895	55.257	77.043	-	-	64.185
cob(I)yrinic acid a,c-diamide adenosyltransferase activity	FC (WS / NS)	-1.14 (0.81 / 3)	-	0.23 (3.46 / 2.81)	-	-0.01 (-7.66 / -7.72)	0.14 (5.78 / 5.15)
 	Percentile (%)	81.942	-	23.026	-	49.166	34.912
enzyme inhibitor activity	FC (WS / NS)	-1.15 (5.37 / 13.11)	-0.33 (6.77 / 8.74)	-0.74 (1.58 / 3.32)	-1.1 (3.81 / 9.3)	-	-0.33 (5.52 / 7.18)
 	Percentile (%)	81.989	64.731	87.388	85.524	-	80.802
endopeptidase inhibitor activity	FC (WS / NS)	-1.15 (5.37 / 13.11)	-2.94 (0 / 6.69)	-1 (0 / 1)	-2.98 (0 / 6.88)	-	-0.34 (5.46 / 7.17)
 	Percentile (%)	82.036	98.928	88.762	99.302	-	80.952
peptidase inhibitor activity	FC (WS / NS)	-1.15 (5.37 / 13.11)	-3.12 (0 / 7.68)	-1.37 (0 / 1.58)	-2.15 (1 / 7.88)	-	-0.34 (5.46 / 7.17)
 	Percentile (%)	82.083	99.596	92.973	91.048	-	80.977
peptidase regulator activity	FC (WS / NS)	-1.15 (5.37 / 13.11)	-3.27 (0 / 8.68)	-1.73 (0 / 2.32)	-1.72 (2 / 8.88)	-	-0.34 (5.49 / 7.2)
 	Percentile (%)	82.129	99.907	95.216	89.397	-	80.902
endopeptidase regulator activity	FC (WS / NS)	-1.15 (5.37 / 13.11)	-3.12 (0 / 7.68)	-1.37 (0 / 1.58)	-2.15 (1 / 7.88)	-	-0.34 (5.46 / 7.17)
 	Percentile (%)	82.176	99.612	93.202	91.079	-	81.003
oxo-acid-lyase activity	FC (WS / NS)	-1.21 (4.77 / 12.37)	0.26 (6.19 / 4.99)	0 (10.81 / 10.83)	-0.32 (6.29 / 8.08)	0.08 (-9.85 / -9.38)	-0.35 (5.61 / 7.45)
 	Percentile (%)	82.27	21.618	65.484	74.19	34.518	81.253
mRNA 5'-UTR binding	FC (WS / NS)	-1.3 (-0.19 / 1)	-0.87 (2.32 / 5.08)	-	-0.23 (5.32 / 6.43)	-	-
 	Percentile (%)	82.411	73.567	-	70.095	-	-
aldehyde dehydrogenase (NAD) activity	FC (WS / NS)	-1.37 (0 / 1.58)	-1.69 (0 / 2.23)	-0.1 (6.83 / 7.39)	-	-	-0.09 (5.39 / 5.81)
 	Percentile (%)	82.458	88.181	76.516	-	-	67.744
aldehyde dehydrogenase [NAD(P)+] activity	FC (WS / NS)	-1.37 (0 / 1.58)	0.45 (4.09 / 2.71)	-0.09 (7.84 / 8.39)	-	-	-0.1 (5.43 / 5.88)
 	Percentile (%)	82.505	16.416	75.898	-	-	68.271
cystathionine gamma-lyase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-1.54 (0 / 1.91)	-1.7 (1.58 / 7.39)	-1.39 (1 / 4.25)	-	-
 	Percentile (%)	82.552	85.557	94.919	87.841	-	-
exopolyphosphatase activity	FC (WS / NS)	-1.37 (0 / 1.58)	0 (0 / 0)	1.37 (1.58 / 0)	0.67 (5.64 / 3.17)	-	-
 	Percentile (%)	82.598	46.871	6.134	10.159	-	-
mannose-6-phosphate isomerase activity	FC (WS / NS)	-1.37 (0 / 1.58)	0.14 (0 / -0.09)	0.15 (9.08 / 8.08)	1.37 (4.17 / 1)	-	-0.14 (4.32 / 4.86)
 	Percentile (%)	82.645	26.044	27.535	5.46	-	70.451
hydrogenase (acceptor) activity	FC (WS / NS)	-1.41 (1.81 / 6.46)	-	0.12 (7.07 / 6.43)	-	0.2 (-11.39 / -10.03)	0.08 (6.09 / 5.71)
 	Percentile (%)	83.255	-	29.892	-	20.522	40.551
oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	FC (WS / NS)	-1.57 (2.98 / 10.85)	0.02 (7.63 / 7.52)	-0.13 (11.06 / 12.2)	-0.17 (7.58 / 8.63)	-	0.12 (6.49 / 5.88)
 	Percentile (%)	83.302	44.479	77.981	67.397	-	36.216
methylated-DNA-[protein]-cysteine S-methyltransferase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-1.58 (0 / 2)	-	-	0.26 (3.46 / 2.71)
 	Percentile (%)	83.349	-	93.66	-	-	21.579
biotin synthase activity	FC (WS / NS)	-1.58 (0 / 2)	0.14 (0 / -0.09)	-1.2 (1 / 3.58)	-1 (1.58 / 4.17)	-	-1.05 (1.58 / 4.36)
 	Percentile (%)	83.396	25.936	91.897	84.667	-	93.985
glycogen debranching enzyme activity	FC (WS / NS)	-1.58 (0 / 2)	0.24 (4.91 / 3.99)	0.24 (6.36 / 5.21)	-	-	0.08 (3.32 / 3.08)
 	Percentile (%)	83.443	22.441	21.996	-	-	39.749
4-alpha-glucanotransferase activity	FC (WS / NS)	-1.58 (0 / 2)	0.3 (3.58 / 2.71)	0.27 (4.81 / 3.81)	-	-	0.08 (3.32 / 3.08)
 	Percentile (%)	83.49	20.158	20.897	-	-	39.774
pyridoxamine-phosphate oxidase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	83.537	-	-	-	-	-
NAD(P)+ transhydrogenase activity	FC (WS / NS)	-1.58 (0 / 2)	-0.89 (2.58 / 5.66)	-0.83 (3 / 6.09)	-1.04 (2 / 5.17)	-	-1 (1.58 / 4.15)
 	Percentile (%)	83.583	73.878	87.64	85.016	-	93.684
NAD(P)+ transhydrogenase (AB-specific) activity	FC (WS / NS)	-1.58 (0 / 2)	-1.29 (1 / 3.91)	-1.02 (2 / 5.09)	-1.37 (1 / 4.17)	-	-1 (1.58 / 4.15)
 	Percentile (%)	83.63	82.109	91.554	87.746	-	93.709
iron chelate transmembrane transporter activity	FC (WS / NS)	-1.58 (0 / 2)	-	-0.22 (4.58 / 5.49)	-	-	0.55 (4.7 / 2.91)
 	Percentile (%)	83.677	-	81.003	-	-	11.905
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	FC (WS / NS)	-1.58 (0 / 2)	2.52 (4.75 / 0)	2.11 (3.32 / 0)	-	-	0.19 (2.32 / 1.91)
 	Percentile (%)	83.724	0.202	2.014	-	-	25.789
oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor	FC (WS / NS)	-1.58 (0 / 2)	-0.83 (3 / 6.1)	-0.74 (3.58 / 6.67)	-0.91 (2.58 / 5.75)	-	-1 (1.58 / 4.15)
 	Percentile (%)	83.771	73.179	87.457	83.905	-	93.734
alpha-L-arabinofuranosidase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-1.73 (0 / 2.32)	-	-	-1.69 (0 / 2.23)
 	Percentile (%)	84.053	-	95.125	-	-	97.444
D-proline reductase (dithiol) activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-1.4 (1.58 / 5.83)	-	-1.76 (1 / 5.79)
 	Percentile (%)	84.146	-	-	88.095	-	97.619
oleate hydratase activity	FC (WS / NS)	-1.58 (0 / 2)	-1.54 (0 / 1.91)	-	-	-	-1.54 (0 / 1.91)
 	Percentile (%)	84.193	86.939	-	-	-	96.817
FAD binding	FC (WS / NS)	-1.58 (0 / 2)	-1.8 (0 / 2.49)	-	-0.3 (6.46 / 8.18)	-	0 (4.17 / 4.15)
 	Percentile (%)	84.24	89.455	-	73.46	-	56.967
oxidoreductase activity, acting on the CH-NH group of donors	FC (WS / NS)	-1.66 (2.98 / 11.63)	0 (8.2 / 8.2)	-0.12 (12.25 / 13.36)	-0.18 (8.17 / 9.37)	-	0.06 (6.54 / 6.25)
 	Percentile (%)	84.287	46.42	77.295	67.778	-	45.789
methylglyoxal reductase (NADPH-dependent) activity	FC (WS / NS)	-1.67 (-0.19 / 1.58)	-	-	-	-	-
 	Percentile (%)	84.334	-	-	-	-	-
morphine 6-dehydrogenase activity	FC (WS / NS)	-1.67 (-0.19 / 1.58)	-	-	-	-	0.62 (3.46 / 1.91)
 	Percentile (%)	84.381	-	-	-	-	11.103
GMP synthase activity	FC (WS / NS)	-1.84 (0 / 2.58)	-2.72 (0 / 5.61)	-	-	-	-
 	Percentile (%)	84.522	97.08	-	-	-	-
tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	FC (WS / NS)	-1.84 (0 / 2.58)	2.68 (5.39 / 0)	1 (1 / 0)	-	-	-
 	Percentile (%)	84.568	0.124	8.927	-	-	-
L-erythro-3,5-diaminohexanoate dehydrogenase activity	FC (WS / NS)	-1.84 (0 / 2.58)	-	-	-3.04 (0 / 7.21)	-	-
 	Percentile (%)	84.662	-	-	99.492	-	-
sodium ion transmembrane transporter activity	FC (WS / NS)	-1.9 (1.81 / 9.5)	-0.15 (3.58 / 4.08)	-0.68 (6.21 / 10.56)	-1.13 (3.17 / 8.14)	-	-1.03 (2.32 / 5.76)
 	Percentile (%)	84.709	59.14	87.022	86.19	-	93.784
3-oxoadipate CoA-transferase activity	FC (WS / NS)	-1.93 (0 / 2.81)	-3.05 (0 / 7.3)	-3.51 (0 / 10.37)	-	-	-
 	Percentile (%)	84.756	99.394	99.931	-	-	-
cystathionine gamma-synthase activity	FC (WS / NS)	-2 (0 / 3)	-	-1.7 (1.58 / 7.39)	-0.92 (1.58 / 3.91)	-	-0.4 (3.17 / 4.49)
 	Percentile (%)	84.803	-	94.896	84.032	-	82.13
lysine decarboxylase activity	FC (WS / NS)	-2 (0 / 3)	-2.24 (0 / 3.71)	-0.21 (7.59 / 8.93)	-1.7 (1.58 / 7.4)	0.71 (-7.24 / -4.82)	-1.67 (1.58 / 7.24)
 	Percentile (%)	84.85	92.483	80.705	89.333	4.714	97.118
calcium ion binding	FC (WS / NS)	-2.06 (0 / 3.17)	-0.26 (5.36 / 6.63)	-0.16 (9.13 / 10.29)	-0.12 (8.32 / 9.12)	-	-0.16 (5.91 / 6.73)
 	Percentile (%)	84.944	62.277	78.851	64.286	-	71.83
polyphosphate kinase activity	FC (WS / NS)	-2.06 (0 / 3.17)	-	0.47 (2.58 / 1.58)	-	-	0.37 (3.17 / 2.23)
 	Percentile (%)	85.131	-	15.93	-	-	17.343
4-hydroxythreonine-4-phosphate dehydrogenase activity	FC (WS / NS)	-2.06 (0 / 3.17)	-	-2.11 (0 / 3.32)	-	-	-
 	Percentile (%)	85.319	-	96.979	-	-	-
rRNA methyltransferase activity	FC (WS / NS)	-2.13 (0.81 / 6.92)	0.65 (6.95 / 4.08)	0.23 (9.68 / 8.09)	0.48 (7.58 / 5.13)	-	0.24 (6.38 / 5.26)
 	Percentile (%)	85.553	14.63	22.683	12.762	-	22.882
rRNA (adenine) methyltransferase activity	FC (WS / NS)	-2.13 (0.81 / 6.92)	0.73 (4.81 / 2.49)	0.47 (6.48 / 4.39)	0.54 (6 / 3.81)	-	0.17 (5.32 / 4.61)
 	Percentile (%)	85.6	13.418	16.068	11.873	-	27.143
catalytic activity, acting on a rRNA	FC (WS / NS)	-2.13 (0.81 / 6.92)	0.65 (6.95 / 4.08)	0.23 (9.68 / 8.09)	0.43 (8.03 / 5.73)	-	0.24 (6.38 / 5.26)
 	Percentile (%)	85.647	14.645	22.705	13.778	-	22.907
copper ion binding	FC (WS / NS)	-2.2 (0 / 3.58)	0.15 (5.78 / 5.11)	0.02 (9.99 / 9.81)	-	-0.21 (-8.17 / -9.31)	-0.46 (3.46 / 5.15)
 	Percentile (%)	85.694	25.097	44.312	-	65.772	83.684
RNA methyltransferase activity	FC (WS / NS)	-2.3 (0.81 / 7.95)	0.61 (8.26 / 5.08)	0.15 (11.5 / 10.25)	0.34 (8.15 / 6.25)	-	0.16 (7.18 / 6.33)
