GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	FC (WS / NS)	-0.34 (4.75 / 6.3)	-0.43 (4.32 / 6.17)	0.06 (11.81 / 11.26)	-0.31 (5.58 / 7.15)	-3.35 (0 / 9.2)	-0.37 (-7.43 / -9.3)
 	Percentile (%)	81.128	66.579	36.027	73.873	95.826	79.333
3,4-dihydroxy-2-butanone-4-phosphate synthase activity	FC (WS / NS)	-0.35 (3.81 / 5.11)	-	-0.29 (4.58 / 5.81)	-	-	-
 	Percentile (%)	81.153	-	82.582	-	-	-
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	FC (WS / NS)	-0.35 (5.58 / 7.41)	2 (3 / 0)	-0.01 (10.57 / 10.64)	-0.34 (6.52 / 8.5)	-0.29 (9.71 / 12.12)	-0.52 (-4.41 / -5.88)
 	Percentile (%)	81.203	1.662	67.59	75.302	68.996	84.917
phosphopantetheine binding	FC (WS / NS)	-0.35 (4.52 / 6.06)	0.14 (0 / -0.09)	0.31 (6.46 / 5)	-1.51 (1 / 4.7)	-1 (0 / 1)	-
 	Percentile (%)	81.228	29.042	19.432	88.508	81.285	-
oxo-acid-lyase activity	FC (WS / NS)	-0.35 (5.61 / 7.45)	0.26 (6.19 / 4.99)	0 (10.81 / 10.83)	-0.32 (6.29 / 8.08)	-1.21 (4.77 / 12.37)	0.08 (-9.85 / -9.38)
 	Percentile (%)	81.253	21.618	65.484	74.19	82.27	34.518
ATP-dependent peptidase activity	FC (WS / NS)	-0.36 (4.81 / 6.43)	-0.4 (4 / 5.58)	0.24 (10.82 / 9.04)	0.06 (7.92 / 7.58)	-0.62 (7.3 / 11.74)	-0.28 (-7.51 / -8.91)
 	Percentile (%)	81.303	66.097	22.271	40.159	78.143	74.184
phosphoric diester hydrolase activity	FC (WS / NS)	-0.36 (5.91 / 7.88)	-0.34 (5.52 / 7.26)	-0.09 (10.47 / 11.17)	-0.33 (6.04 / 7.83)	-2.33 (0.81 / 8.11)	-0.05 (-6.1 / -6.28)
 	Percentile (%)	81.378	65.01	75.647	74.571	86.538	51.632
glycine dehydrogenase (decarboxylating) activity	FC (WS / NS)	-0.37 (3 / 4.15)	-2.24 (0 / 3.71)	-2.29 (0 / 3.91)	-2.29 (0 / 3.91)	-	-
 	Percentile (%)	81.404	92.406	97.688	92.032	-	-
oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor	FC (WS / NS)	-0.37 (3 / 4.15)	-2.51 (0 / 4.71)	-1.56 (1 / 4.91)	-2.56 (0 / 4.91)	-	-
 	Percentile (%)	81.429	93.648	93.568	95.873	-	-
beta-ketoacyl-acyl-carrier-protein synthase III activity	FC (WS / NS)	-0.37 (3.91 / 5.33)	-	-0.29 (3.91 / 5)	-0.33 (4 / 5.29)	-0.51 (4.98 / 7.49)	-
 	Percentile (%)	81.479	-	82.673	74.857	77.158	-
queuine tRNA-ribosyltransferase activity	FC (WS / NS)	-0.38 (2 / 2.91)	-1.32 (0 / 1.49)	-0.36 (1.58 / 2.32)	-	2.45 (4.46 / 0)	-
 	Percentile (%)	81.554	83.678	83.726	-	5.3	-
cobalt ion transmembrane transporter activity	FC (WS / NS)	-0.38 (2 / 2.91)	-	0.84 (2.58 / 1)	-	-	-
 	Percentile (%)	81.579	-	12.863	-	-	-
transferase activity, transferring sulfur-containing groups	FC (WS / NS)	-0.38 (7.26 / 9.77)	-0.07 (9.76 / 10.3)	-0.29 (11.28 / 14.05)	-0.4 (7.96 / 10.85)	-1 (7.14 / 15.29)	-
 	Percentile (%)	81.679	56.593	82.742	76.794	81.52	-
exoribonuclease II activity	FC (WS / NS)	-0.39 (3 / 4.23)	-	-0.65 (2 / 3.7)	-	-	-
 	Percentile (%)	81.704	-	86.931	-	-	-
phosphoenolpyruvate carboxykinase (ATP) activity	FC (WS / NS)	-0.39 (5.83 / 7.94)	-0.28 (5.7 / 7.12)	-0.36 (6.64 / 8.8)	-0.4 (5.64 / 7.77)	-0.22 (13.28 / 15.65)	0.2 (-5.44 / -4.87)
 	Percentile (%)	81.779	62.649	83.703	76.73	67.073	21.392
phosphopantothenoylcysteine decarboxylase activity	FC (WS / NS)	-0.39 (2.58 / 3.71)	1.58 (2 / 0)	0 (2.81 / 2.81)	-	-	-
 	Percentile (%)	82.055	3.588	54.498	-	-	-
cystathionine gamma-synthase activity	FC (WS / NS)	-0.4 (3.17 / 4.49)	-	-1.7 (1.58 / 7.39)	-0.92 (1.58 / 3.91)	-2 (0 / 3)	-
 	Percentile (%)	82.13	-	94.896	84.032	84.803	-
purine nucleosidase activity	FC (WS / NS)	-0.41 (3.17 / 4.55)	2.27 (3.81 / 0)	-0.44 (3.81 / 5.52)	-0.44 (3.81 / 5.52)	-	-
 	Percentile (%)	82.331	0.745	84.733	77.968	-	-
methylthioadenosine nucleosidase activity	FC (WS / NS)	-0.41 (3.17 / 4.55)	1.93 (2.81 / 0)	-0.54 (2.81 / 4.52)	-0.54 (2.81 / 4.52)	-	-
 	Percentile (%)	82.356	2.034	85.855	80.063	-	-
restriction endodeoxyribonuclease activity	FC (WS / NS)	-0.41 (2.81 / 4.08)	0.14 (0 / -0.09)	-0.25 (4.32 / 5.32)	-1.26 (1.58 / 5.17)	-	-
 	Percentile (%)	82.406	27.939	81.827	87.143	-	-
oxidoreductase activity, acting on a heme group of donors	FC (WS / NS)	-0.42 (3.91 / 5.55)	-	-0.37 (3.58 / 4.91)	-0.73 (3.81 / 6.97)	-0.34 (7.79 / 10.1)	-
 	Percentile (%)	82.456	-	83.864	82	72.983	-
adenylate cyclase activity	FC (WS / NS)	-0.42 (2.58 / 3.81)	-2.37 (0 / 4.15)	0.84 (2.58 / 1)	-	-	-
 	Percentile (%)	82.581	93.12	12.772	-	-	-
cyclase activity	FC (WS / NS)	-0.42 (2.58 / 3.81)	-1.62 (1 / 5.15)	0.53 (3.81 / 2.32)	-	-	-
 	Percentile (%)	82.607	87.669	15.244	-	-	-
protein-glutamine N-methyltransferase activity	FC (WS / NS)	-0.43 (1.58 / 2.49)	-0.93 (0 / 0.91)	0 (1.58 / 1.58)	-	-	-
 	Percentile (%)	82.932	77.481	60.861	-	-	-
CDP-glycerol glycerophosphotransferase activity	FC (WS / NS)	-0.43 (1.58 / 2.49)	-	-	-	-	-
 	Percentile (%)	82.982	-	-	-	-	-
protein-(glutamine-N5) methyltransferase activity	FC (WS / NS)	-0.43 (1.58 / 2.49)	-	-	-	-	-
 	Percentile (%)	83.033	-	-	-	-	-
kinase binding	FC (WS / NS)	-0.43 (2.32 / 3.49)	-	-	-1.39 (1 / 4.25)	-	-
 	Percentile (%)	83.083	-	-	87.873	-	-
protein kinase binding	FC (WS / NS)	-0.43 (2.32 / 3.49)	-	-	-	-	-
 	Percentile (%)	83.108	-	-	-	-	-
oxoglutarate dehydrogenase (succinyl-transferring) activity	FC (WS / NS)	-0.44 (3 / 4.43)	-2.32 (0 / 3.99)	-2.35 (0 / 4.09)	-2.39 (0 / 4.25)	-3.29 (0 / 8.78)	-
 	Percentile (%)	83.283	92.918	97.871	93.556	94.981	-
pantothenate kinase activity	FC (WS / NS)	-0.44 (2 / 3.08)	-	-0.28 (3.58 / 4.58)	-	-	-
 	Percentile (%)	83.333	-	82.513	-	-	-
monosaccharide binding	FC (WS / NS)	-0.45 (3.81 / 5.58)	-	-0.35 (2.58 / 3.58)	-0.93 (2.81 / 6.27)	2.45 (4.46 / 0)	-
 	Percentile (%)	83.409	-	83.589	84.127	5.675	-
type I site-specific deoxyribonuclease activity	FC (WS / NS)	-0.45 (2.58 / 3.91)	-	-0.48 (2 / 3.17)	-	-	-
 	Percentile (%)	83.459	-	85.054	-	-	-
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	FC (WS / NS)	-0.45 (3.17 / 4.71)	1 (1 / 0)	0.2 (9.67 / 8.27)	-	-	-0.18 (-6.54 / -7.27)
 	Percentile (%)	83.534	9.334	24.376	-	-	63.307
citrate (pro-3S)-lyase activity	FC (WS / NS)	-0.46 (4.64 / 6.74)	1.46 (4.25 / 0.91)	-0.48 (5.25 / 7.7)	-0.47 (4.52 / 6.66)	-3.74 (0 / 12.36)	-
 	Percentile (%)	83.559	5.296	85.077	78.508	98.734	-
histidine ammonia-lyase activity	FC (WS / NS)	-0.46 (5.09 / 7.36)	-	-0.48 (4.95 / 7.33)	-0.47 (4.86 / 7.14)	-0.35 (9.93 / 12.9)	0.07 (-7.25 / -6.94)
 	Percentile (%)	83.584	-	85.237	78.635	73.218	35.243
copper ion binding	FC (WS / NS)	-0.46 (3.46 / 5.15)	0.15 (5.78 / 5.11)	0.02 (9.99 / 9.81)	-	-2.2 (0 / 3.58)	-0.21 (-8.17 / -9.31)
 	Percentile (%)	83.684	25.097	44.312	-	85.694	65.772
cyclic-nucleotide phosphodiesterase activity	FC (WS / NS)	-0.47 (2.32 / 3.61)	-2.39 (0 / 4.23)	-0.04 (5.91 / 6.09)	-0.9 (2 / 4.58)	-3.11 (-0.19 / 6)	-0.11 (-9.65 / -10.36)
 	Percentile (%)	83.709	93.213	72.671	83.492	92.683	58.086
iron ion transmembrane transporter activity	FC (WS / NS)	-0.47 (3.46 / 5.19)	-1.27 (1 / 3.81)	-0.29 (6.93 / 8.69)	-1.78 (1 / 5.86)	-0.18 (7.66 / 8.78)	-
 	Percentile (%)	83.81	82.016	82.628	89.524	65.009	-
nitrite reductase activity	FC (WS / NS)	-0.48 (3.81 / 5.71)	-0.64 (3.17 / 5.49)	-0.42 (4.52 / 6.41)	-0.39 (4.46 / 6.17)	-	-
 	Percentile (%)	83.985	70.958	84.55	76.571	-	-
amine-lyase activity	FC (WS / NS)	-0.48 (4.25 / 6.33)	-0.58 (3.81 / 6.21)	0.77 (5.49 / 2.81)	-0.37 (5.09 / 6.86)	-0.8 (6.67 / 12.39)	-
 	Percentile (%)	84.06	70.151	13.344	76.159	80.113	-
pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity	FC (WS / NS)	-0.48 (4.25 / 6.33)	-	-	-0.43 (4.09 / 5.86)	-0.8 (6.67 / 12.39)	-
 	Percentile (%)	84.085	-	-	77.778	80.159	-
molybdenum ion binding	FC (WS / NS)	-0.49 (3.58 / 5.46)	-0.07 (5.78 / 6.1)	-0.12 (8.49 / 9.29)	-1 (2.81 / 6.6)	-0.34 (7.79 / 10.1)	0.04 (-9.99 / -9.75)
 	Percentile (%)	84.135	56.375	77.272	84.635	73.077	42.132
imidazolonepropionase activity	FC (WS / NS)	-0.5 (4.09 / 6.19)	-	-0.43 (4.25 / 6.09)	-0.45 (4 / 5.83)	-3.73 (0 / 12.27)	-
 	Percentile (%)	84.361	-	84.688	78.159	98.593	-
structural constituent of epidermis	FC (WS / NS)	-0.5 (3 / 4.66)	-0.32 (1 / 1.49)	-	-0.55 (2.81 / 4.58)	-	-
 	Percentile (%)	84.486	63.954	-	80.286	-	-
1-deoxy-D-xylulose-5-phosphate synthase activity	FC (WS / NS)	-0.5 (2.58 / 4.08)	-	-0.22 (5.91 / 7.02)	-2 (0 / 3)	-	-
 	Percentile (%)	84.511	-	80.957	90.032	-	-
ethanolamine ammonia-lyase activity	FC (WS / NS)	-0.5 (3.81 / 5.81)	-	-0.5 (4.46 / 6.7)	-0.53 (3.7 / 5.78)	-0.38 (8.87 / 11.82)	0.13 (-9.08 / -8.4)
 	Percentile (%)	84.536	-	85.351	79.746	74.812	29.659
amidophosphoribosyltransferase activity	FC (WS / NS)	-0.5 (2.32 / 3.71)	-1.17 (1 / 3.49)	-2.16 (0 / 3.46)	-2.16 (0 / 3.46)	-	-
 	Percentile (%)	84.662	81.364	97.002	91.143	-	-
citrate CoA-transferase activity	FC (WS / NS)	-0.51 (3.81 / 5.86)	-	-0.53 (3.7 / 5.81)	-0.49 (3.81 / 5.75)	-3.75 (0 / 12.47)	-
 	Percentile (%)	84.737	-	85.763	78.952	98.78	-
metalloaminopeptidase activity	FC (WS / NS)	-0.51 (4.25 / 6.49)	0.14 (0 / -0.09)	-	-0.48 (4.32 / 6.41)	-0.71 (8.04 / 13.77)	-
 	Percentile (%)	84.762	31.977	-	78.73	79.597	-
phosphatidylserine decarboxylase activity	FC (WS / NS)	-0.52 (1.58 / 2.71)	2.2 (3.58 / 0)	0.37 (1.58 / 1)	-	-	-
 	Percentile (%)	84.787	0.901	17.739	-	-	-
homoserine O-succinyltransferase activity	FC (WS / NS)	-0.52 (1.58 / 2.71)	-1.54 (0 / 1.91)	-1.73 (0 / 2.32)	-	0 (0 / 0)	-
 	Percentile (%)	84.812	85.929	95.056	-	41.979	-
O-succinyltransferase activity	FC (WS / NS)	-0.52 (1.58 / 2.71)	-0.97 (1 / 2.91)	-1.11 (1 / 3.32)	-	0 (0 / 0)	-
 	Percentile (%)	84.837	79.826	91.76	-	42.402	-
glycerophosphodiester phosphodiesterase activity	FC (WS / NS)	-0.52 (4.39 / 6.75)	-0.35 (4.46 / 5.95)	-0.47 (4.46 / 6.58)	-0.46 (4.46 / 6.49)	-2.32 (0 / 4)	-
 	Percentile (%)	84.862	65.165	85.008	78.19	85.882	-
glutamate racemase activity	FC (WS / NS)	-0.53 (2.32 / 3.81)	-0.16 (2.32 / 2.71)	-0.53 (2.32 / 3.81)	-	-	-
 	Percentile (%)	84.887	59.559	85.74	-	-	-
polyamine transmembrane transporter activity	FC (WS / NS)	-0.54 (3.81 / 5.97)	-0.63 (3.91 / 6.62)	-0.4 (5.58 / 7.67)	-	-3.5 (0 / 10.29)	-
 	Percentile (%)	84.912	70.881	84.253	-	97.514	-
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor	FC (WS / NS)	-0.54 (3.58 / 5.66)	-0.58 (4.91 / 7.85)	-0.32 (6.46 / 8.34)	-0.27 (6.61 / 8.17)	-	-
 	Percentile (%)	84.937	70.135	83.04	71.619	-	-
nitrite reductase (cytochrome, ammonia-forming) activity	FC (WS / NS)	-0.54 (3.58 / 5.66)	-0.64 (3.17 / 5.49)	-0.47 (4.32 / 6.39)	-0.51 (3.32 / 5.17)	-	-
 	Percentile (%)	84.962	70.943	84.985	79.46	-	-
asparagine synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	0.05 (7.54 / 7.23)	-	-	-0.27 (-9.55 / -11.31)
 	Percentile (%)	85.113	-	37.629	-	-	72.734
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	0.37 (1.58 / 1)	-	-	-
 	Percentile (%)	85.138	-	17.716	-	-	-
glucose binding	FC (WS / NS)	-0.54 (1 / 1.91)	-	-	-1.11 (2 / 5.46)	-	-
 	Percentile (%)	85.163	-	-	85.619	-	-
gluconate 5-dehydrogenase activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	-	-	-	-
 	Percentile (%)	85.238	-	-	-	-	-
gluconate dehydrogenase activity	FC (WS / NS)	-0.54 (1 / 1.91)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	85.263	75.478	-	-	-	-
heme transporter activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	0 (0 / 0)	-	3.02 (7.14 / 0)	-
 	Percentile (%)	85.313	-	57.794	-	2.205	-
sodium-dependent phosphate transmembrane transporter activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	85.338	-	89.609	-	-	-
mannosyl-oligosaccharide mannosidase activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	0.26 (2.58 / 2)	-	-	-
 	Percentile (%)	85.363	-	21.653	-	-	-
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	FC (WS / NS)	-0.54 (1 / 1.91)	-	-	-	-	-
 	Percentile (%)	86.341	-	-	-	-	-
orotidine-5'-phosphate decarboxylase activity	FC (WS / NS)	-0.54 (3 / 4.81)	-1.05 (1.58 / 4.36)	0 (6.36 / 6.36)	-0.72 (2.32 / 4.46)	-3.48 (0 / 10.18)	-
 	Percentile (%)	86.366	80.773	54.406	81.873	97.045	-
diphosphate-fructose-6-phosphate 1-phosphotransferase activity	FC (WS / NS)	-0.54 (2 / 3.36)	-	0.2 (6.92 / 5.88)	-	-	-
 	Percentile (%)	86.491	-	24.582	-	-	-
DNA ligase (ATP) activity	FC (WS / NS)	-0.54 (2.81 / 4.55)	-	-0.46 (2.32 / 3.58)	-	-0.3 (-0.19 / 0)	-
 	Percentile (%)	86.516	-	84.871	-	69.325	-
polyamine-transporting ATPase activity	FC (WS / NS)	-0.55 (3.7 / 5.86)	-0.88 (2.58 / 5.58)	-0.46 (4.58 / 6.67)	-	-3.5 (0 / 10.29)	-
 	Percentile (%)	86.541	73.614	84.825	-	97.561	-
polyamine binding	FC (WS / NS)	-0.56 (3.58 / 5.74)	-	-0.83 (2.58 / 5.39)	-0.92 (2.81 / 6.21)	-	-
 	Percentile (%)	86.667	-	87.663	84	-	-
organic cation transmembrane transporter activity	FC (WS / NS)	-0.57 (3.46 / 5.63)	-1.46 (1 / 4.49)	-0.36 (5.32 / 7.09)	2 (3 / 0)	-3.5 (0 / 10.29)	-
 	Percentile (%)	87.018	85.044	83.658	3.905	97.467	-
glutathione peroxidase activity	FC (WS / NS)	-0.58 (3 / 4.99)	-	-0.95 (1.58 / 4)	-1.29 (1 / 3.91)	-	-
 	Percentile (%)	87.043	-	88.212	87.365	-	-
dicarboxylic acid transmembrane transporter activity	FC (WS / NS)	-0.6 (1.58 / 2.91)	-0.49 (2 / 3.23)	-0.9 (2.58 / 5.7)	-1.56 (1.58 / 6.63)	-2.91 (0 / 6.52)	-
 	Percentile (%)	87.143	68.101	87.915	88.667	90.338	-
C4-dicarboxylate transmembrane transporter activity	FC (WS / NS)	-0.6 (1.58 / 2.91)	-0.69 (1 / 2.23)	-	-	-	-
 	Percentile (%)	87.168	71.579	-	-	-	-
ubiquitin protein ligase binding	FC (WS / NS)	-0.6 (1.58 / 2.91)	-	-	-	-	-
 	Percentile (%)	87.193	-	-	-	-	-
ubiquitin-like protein ligase binding	FC (WS / NS)	-0.6 (1.58 / 2.91)	-	-	-	-	-
 	Percentile (%)	87.218	-	-	-	-	-
succinyltransferase activity	FC (WS / NS)	-0.62 (2 / 3.61)	-0.64 (3.17 / 5.49)	0.02 (8.6 / 8.5)	-1.02 (2.81 / 6.7)	-3.24 (0 / 8.45)	-0.73 (-5.59 / -8.61)
 	Percentile (%)	87.368	70.927	47.173	84.889	94.325	90.355
RNA-dependent ATPase activity	FC (WS / NS)	-0.63 (3 / 5.19)	0.01 (4.86 / 4.81)	-2.61 (0 / 5.09)	-2.58 (0 / 5)	-3.4 (0 / 9.54)	-
 	Percentile (%)	87.444	45.318	98.856	96.127	96.154	-
alanine racemase activity	FC (WS / NS)	-0.63 (2.32 / 4.15)	1.37 (1.58 / 0)	0.05 (5.86 / 5.64)	-0.98 (1.58 / 4.09)	-	-
 	Percentile (%)	87.469	5.56	39.46	84.444	-	-
succinate dehydrogenase (ubiquinone) activity	FC (WS / NS)	-0.65 (3.91 / 6.69)	1.58 (2 / 0)	-0.02 (9.12 / 9.29)	-0.92 (2.32 / 5.29)	-2.72 (0 / 5.58)	-0.42 (-5.41 / -6.88)
 	Percentile (%)	87.644	3.743	71	83.937	87.946	82.016
guanyl-nucleotide exchange factor activity	FC (WS / NS)	-0.65 (2 / 3.71)	0.44 (1.58 / 0.91)	-	-	-	-
 	Percentile (%)	87.669	16.711	-	-	-	-
propanediol dehydratase activity	FC (WS / NS)	-0.66 (4.09 / 7.01)	-	-0.24 (7.71 / 9.27)	-0.33 (5.95 / 7.75)	0 (0 / 0)	-
 	Percentile (%)	87.744	-	81.506	74.984	42.871	-
phospholipase activity	FC (WS / NS)	-0.66 (3 / 5.33)	0.07 (1 / 0.91)	-2.11 (0 / 3.32)	-2.11 (0 / 3.32)	-0.3 (-0.19 / 0)	-0.01 (-7.11 / -7.15)
 	Percentile (%)	87.794	36.791	96.956	90.762	69.653	47.136
lipase activity	FC (WS / NS)	-0.66 (3 / 5.33)	0.05 (1.58 / 1.49)	0.15 (4.81 / 4.25)	-1.43 (1 / 4.39)	-0.3 (-0.19 / 0)	-0.01 (-6.7 / -6.73)
 	Percentile (%)	87.82	39.494	27.878	88.222	70.356	47.208
putrescine transmembrane transporter activity	FC (WS / NS)	-0.68 (2.58 / 4.76)	-1.46 (1 / 4.49)	-0.5 (4 / 6.09)	-	-3.36 (0 / 9.29)	-
 	Percentile (%)	87.895	85.06	85.443	-	95.966	-
RNA-directed DNA polymerase activity	FC (WS / NS)	-0.69 (1 / 2.23)	-	0.21 (2 / 1.58)	-	-	-
 	Percentile (%)	87.945	-	23.713	-	-	-
glycerol-3-phosphate O-acyltransferase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.05 (2 / 1.91)	-0.58 (1 / 2)	-	-	-
 	Percentile (%)	87.97	40.596	86.152	-	-	-
2-dehydro-3-deoxy-phosphogluconate aldolase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.14 (0 / -0.09)	-1.37 (0 / 1.58)	-	-	-
 	Percentile (%)	88.02	27.116	92.767	-	-	-
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity	FC (WS / NS)	-0.69 (1 / 2.23)	-1.54 (0 / 1.91)	0.31 (5.09 / 3.91)	-	-	-
 	Percentile (%)	88.045	85.883	19.501	-	-	-
4-hydroxy-2-oxoglutarate aldolase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.14 (0 / -0.09)	-1.37 (0 / 1.58)	-	-	-
 	Percentile (%)	88.07	27.147	92.79	-	-	-
tRNA (guanine-N1-)-methyltransferase activity	FC (WS / NS)	-0.69 (1 / 2.23)	-	-	-	-	-
 	Percentile (%)	88.095	-	-	-	-	-
fimbrial usher porin activity	FC (WS / NS)	-0.69 (1 / 2.23)	-	-	-	-	-
 	Percentile (%)	88.145	-	-	-	-	-
intramolecular oxidoreductase activity, transposing C=C bonds	FC (WS / NS)	-0.69 (1 / 2.23)	0.69 (5.81 / 3.23)	-0.1 (8.02 / 8.68)	0.49 (6.29 / 4.17)	0.86 (0.81 / 0)	-
 	Percentile (%)	88.195	13.729	76.631	12.349	9.381	-
trans-2-decenoyl-acyl-carrier-protein isomerase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.85 (4.81 / 2.23)	0.31 (5.09 / 3.91)	0.59 (5.29 / 3.17)	0.86 (0.81 / 0)	-
 	Percentile (%)	88.296	12.611	19.524	11.429	9.475	-
lipid-transporting ATPase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.07 (1 / 0.91)	-	-	-	-
 	Percentile (%)	88.321	37.149	-	-	-	-
cadherin binding	FC (WS / NS)	-0.69 (1 / 2.23)	-	-	-	-	-
 	Percentile (%)	88.446	-	-	-	-	-
GDP-L-fucose synthase activity	FC (WS / NS)	-0.69 (1 / 2.23)	-	-	-	-	-
 	Percentile (%)	88.496	-	-	-	-	-
cell adhesion molecule binding	FC (WS / NS)	-0.69 (1 / 2.23)	-1.32 (0 / 1.49)	0 (0 / 0)	-	-	-
 	Percentile (%)	88.521	84.532	63.195	-	-	-
ADP-dependent NAD(P)H-hydrate dehydratase activity	FC (WS / NS)	-0.69 (1 / 2.23)	0.14 (0 / -0.09)	0 (0 / 0)	-	-2.5 (0 / 4.64)	-
 	Percentile (%)	88.546	31.62	63.859	-	87.008	-
tRNA (guanine(37)-N(1))-methyltransferase activity	FC (WS / NS)	-0.69 (1 / 2.23)	-	-	-	-	-
 	Percentile (%)	88.571	-	-	-	-	-
NADP+ binding	FC (WS / NS)	-0.69 (1 / 2.23)	0.2 (5.29 / 4.49)	-	-	-	-
 	Percentile (%)	88.596	23.73	-	-	-	-
6,7-dimethyl-8-ribityllumazine synthase activity	FC (WS / NS)	-0.7 (2.81 / 5.19)	-0.69 (2.81 / 5.15)	-0.77 (2.58 / 5.13)	-0.66 (2.81 / 5)	-0.04 (5.46 / 5.64)	-
 	Percentile (%)	88.622	71.704	87.549	81.365	51.22	-
pantetheine-phosphate adenylyltransferase activity	FC (WS / NS)	-0.71 (1.58 / 3.23)	-0.17 (1.58 / 1.91)	-0.21 (1.58 / 2)	-	-	-
 	Percentile (%)	88.797	59.885	80.842	-	-	-
sulfur compound transmembrane transporter activity	FC (WS / NS)	-0.71 (2.81 / 5.23)	1 (4.81 / 1.91)	0.04 (6.43 / 6.23)	0.42 (6.29 / 4.46)	-	0.07 (-8.76 / -8.37)
 	Percentile (%)	88.872	11.912	40.696	13.937	-	35.17
putrescine-importing ATPase activity	FC (WS / NS)	-0.72 (2.32 / 4.49)	-2.13 (0 / 3.36)	-0.61 (3 / 5.09)	-	-3.36 (0 / 9.29)	-
 	Percentile (%)	88.897	91.831	86.564	-	96.013	-
spermidine-importing ATPase activity	FC (WS / NS)	-0.72 (2.32 / 4.49)	-	-0.61 (3 / 5.09)	-	-3.36 (0 / 9.29)	-
 	Percentile (%)	88.922	-	86.587	-	96.06	-
spermidine transmembrane transporter activity	FC (WS / NS)	-0.72 (2.32 / 4.49)	-	-0.5 (4 / 6.09)	-	-3.36 (0 / 9.29)	-
 	Percentile (%)	88.947	-	85.466	-	96.107	-
porin activity	FC (WS / NS)	-0.73 (3.46 / 6.38)	-0.76 (3.46 / 6.55)	-0.34 (6.32 / 8.25)	-0.15 (8.13 / 9.13)	-2.93 (0 / 6.63)	-
 	Percentile (%)	88.972	72.325	83.314	66.571	90.994	-
wide pore channel activity	FC (WS / NS)	-0.73 (3.46 / 6.38)	-0.65 (4.46 / 7.55)	-0.3 (7.32 / 9.25)	-0.14 (9.13 / 10.13)	-2.93 (0 / 6.63)	-
 	Percentile (%)	88.997	71.114	82.811	65.619	91.041	-
G protein-coupled receptor activity	FC (WS / NS)	-0.74 (2.32 / 4.55)	-2.17 (0 / 3.49)	0 (0 / 0)	-	-	-
 	Percentile (%)	89.048	91.924	54.864	-	-	-
hydrolase activity, acting on acid carbon-carbon bonds	FC (WS / NS)	-0.76 (1.58 / 3.36)	-2.29 (0 / 3.91)	-0.89 (2.32 / 5.17)	-2.64 (0 / 5.25)	-3.42 (0 / 9.71)	-
 	Percentile (%)	89.098	92.809	87.869	96.952	96.576	-
hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	FC (WS / NS)	-0.76 (1.58 / 3.36)	-1.97 (0 / 2.91)	-1 (1.58 / 4.17)	-2.48 (0 / 4.58)	-3.42 (0 / 9.71)	-
 	Percentile (%)	89.123	90.604	89.815	95.111	96.623	-
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	FC (WS / NS)	-0.76 (2 / 4.08)	0.14 (0 / -0.09)	-0.69 (1.58 / 3.17)	-	-	-
 	Percentile (%)	89.148	25.843	87.091	-	-	-
5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity	FC (WS / NS)	-0.76 (2 / 4.08)	-0.93 (0 / 0.91)	-0.53 (2.58 / 4.17)	-	-	-
 	Percentile (%)	89.173	77.636	85.672	-	-	-
5-(carboxyamino)imidazole ribonucleotide mutase activity	FC (WS / NS)	-0.77 (2.32 / 4.66)	1 (1 / 0)	-0.58 (3.32 / 5.46)	-0.85 (2 / 4.39)	-	-
 	Percentile (%)	89.223	9.815	86.13	83.175	-	-
galactose binding	FC (WS / NS)	-0.8 (2.58 / 5.23)	-	-	-1.23 (1.58 / 5.04)	2.45 (4.46 / 0)	-
 	Percentile (%)	89.298	-	-	86.889	5.113	-
glucosamine-6-phosphate deaminase activity	FC (WS / NS)	-0.8 (1.58 / 3.49)	-1.97 (0 / 2.91)	0.2 (3.58 / 3)	-	-	-
