GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
molecular carrier activity	FC (WS / NS)	-0.13 (-7.2 / -7.79)	-0.46 (3.91 / 5.74)	-0.03 (5.95 / 6.11)	-	-0.08 (2.4 / 2.58)	0.03 (6.29 / 6.13)
 	Percentile (%)	59.608	67.557	72.076	-	57.129	51.378
3 iron, 4 sulfur cluster binding	FC (WS / NS)	-0.13 (-7.32 / -7.93)	-0.05 (4.52 / 4.71)	-0.06 (8.2 / 8.56)	-	-2.87 (0 / 6.32)	-0.29 (4.17 / 5.33)
 	Percentile (%)	59.971	55.459	74.067	-	89.822	76.291
4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	FC (WS / NS)	-0.13 (-7.32 / -7.93)	-	-0.07 (7.08 / 7.48)	-0.09 (7 / 7.54)	-0.05 (11.98 / 12.46)	-0.05 (7.45 / 7.74)
 	Percentile (%)	60.044	-	74.937	61.302	54.315	64.11
racemase and epimerase activity	FC (WS / NS)	-0.14 (-5.52 / -5.98)	0.21 (9.55 / 8.1)	-0.03 (12.91 / 13.22)	0.07 (9.25 / 8.75)	-0.07 (11.09 / 11.7)	0.12 (8.68 / 7.93)
 	Percentile (%)	60.334	23.342	72.03	37.079	56.426	36.742
tyrosine-tRNA ligase activity	FC (WS / NS)	-0.14 (-6.28 / -6.81)	0.19 (5.83 / 4.99)	0.11 (5.61 / 5.13)	-	0.15 (11.79 / 10.53)	0.1 (6.09 / 5.61)
 	Percentile (%)	60.406	24.01	30.716	-	19.09	38.521
oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor	FC (WS / NS)	-0.15 (-5.43 / -5.9)	0.91 (2.58 / 0.91)	0 (9.87 / 9.87)	-0.06 (7.34 / 7.67)	-0.05 (11.98 / 12.46)	-0.01 (7.86 / 7.89)
 	Percentile (%)	60.551	12.269	58.663	57.302	54.268	59.549
glucose-6-phosphate isomerase activity	FC (WS / NS)	-0.15 (-3.43 / -3.7)	0.03 (3 / 2.91)	0.26 (7.35 / 5.95)	0.21 (7.21 / 6.11)	0.19 (15.66 / 13.59)	0.24 (7.56 / 6.26)
 	Percentile (%)	60.696	42.351	21.401	23.175	16.182	22.807
acetate kinase activity	FC (WS / NS)	-0.15 (-5.85 / -6.38)	-0.98 (2 / 4.91)	-0.16 (7.08 / 8.02)	-0.17 (6.75 / 7.73)	-0.22 (12.83 / 15.08)	-0.15 (7.16 / 8.07)
 	Percentile (%)	60.841	80.121	79.034	67.651	67.026	70.977
oxidoreductase activity, acting on hydrogen as donor, iron-sulfur protein as acceptor	FC (WS / NS)	-0.15 (-6.76 / -7.39)	1 (1 / 0)	0.15 (10.07 / 8.98)	0.15 (8.09 / 7.19)	-0.13 (10.74 / 11.85)	0.18 (7.15 / 6.19)
 	Percentile (%)	60.914	9.318	27.626	26.286	62.148	26.767
glutaconyl-CoA decarboxylase activity	FC (WS / NS)	-0.15 (-9.2 / -10.11)	-	0.11 (2.58 / 2.32)	-	-0.13 (8.13 / 8.98)	-0.31 (6.61 / 8.47)
 	Percentile (%)	61.059	-	30.762	-	61.914	77.093
D-alanine-D-alanine ligase activity	FC (WS / NS)	-0.15 (-7.73 / -8.48)	0.04 (4.81 / 4.66)	0.18 (5.67 / 4.91)	0.21 (5.88 / 4.95)	-0.4 (6.78 / 9.29)	0.17 (5.95 / 5.19)
 	Percentile (%)	61.131	42.01	25.818	23.048	75.469	27.419
ACP phosphopantetheine attachment site binding	FC (WS / NS)	-0.16 (-6.2 / -6.79)	-0.43 (4.58 / 6.52)	-0.05 (6.73 / 7.02)	-	-0.08 (2.4 / 2.58)	-0.01 (6 / 6.03)
 	Percentile (%)	61.566	66.548	73.838	-	57.036	59.799
solute:cation symporter activity	FC (WS / NS)	-0.16 (-4.75 / -5.18)	0.28 (7.13 / 5.69)	0.04 (14.97 / 14.5)	-0.21 (7.08 / 8.35)	-3.33 (0 / 9.09)	-0.05 (5.7 / 5.95)
 	Percentile (%)	61.711	20.904	39.895	69.079	95.591	64.461
3'-5' exonuclease activity	FC (WS / NS)	-0.16 (-8.03 / -8.84)	-0.13 (7.47 / 8.29)	-0.08 (10.7 / 11.34)	-	0.25 (10.44 / 8.64)	-0.03 (7 / 7.15)
 	Percentile (%)	61.784	58.736	75.257	-	14.775	62.581
tetraacyldisaccharide 4'-kinase activity	FC (WS / NS)	-0.16 (-7.79 / -8.58)	0.65 (2 / 0.91)	0.93 (2.81 / 1)	2.06 (3.17 / 0)	0.72 (4.46 / 2.32)	1.13 (3.17 / 0.91)
 	Percentile (%)	61.929	14.257	12.36	3.492	9.85	6.566
molecular transducer activity	FC (WS / NS)	-0.16 (-5.15 / -5.65)	-0.66 (5.29 / 8.94)	0 (13.95 / 13.9)	-0.13 (5.95 / 6.6)	-0.05 (10.13 / 10.52)	-0.01 (7.32 / 7.38)
 	Percentile (%)	62.364	71.3	51.637	65.206	53.705	60.351
exonuclease activity	FC (WS / NS)	-0.17 (-6.93 / -7.66)	-0.08 (9.32 / 9.92)	-0.05 (13.38 / 13.91)	0.06 (9.87 / 9.4)	0.17 (13.54 / 11.92)	0.08 (8.45 / 7.95)
 	Percentile (%)	62.437	56.919	73.655	38.857	17.683	40.677
N-acylmannosamine kinase activity	FC (WS / NS)	-0.17 (-9.8 / -10.9)	-	0.35 (4.86 / 3.58)	-	-	-
 	Percentile (%)	62.509	-	18.494	-	-	-
symporter activity	FC (WS / NS)	-0.17 (-4.43 / -4.85)	0.24 (7.47 / 6.15)	0.04 (15.38 / 14.93)	-0.18 (7.52 / 8.68)	-3.33 (0 / 9.09)	-0.07 (5.93 / 6.26)
 	Percentile (%)	62.654	22.395	40.627	68.095	95.544	65.614
proton-transporting ATPase activity, rotational mechanism	FC (WS / NS)	-0.17 (-6.02 / -6.65)	0.08 (8.39 / 7.87)	0.03 (11.05 / 10.76)	-0.17 (7.09 / 8.11)	-	0.22 (4.09 / 3.36)
 	Percentile (%)	62.727	35.766	41.36	67.714	-	23.584
CoA hydrolase activity	FC (WS / NS)	-0.17 (-5 / -5.5)	-	0.23 (8.85 / 7.39)	-	-	0.15 (6.25 / 5.55)
 	Percentile (%)	63.017	-	22.934	-	-	29.223
prosthetic group binding	FC (WS / NS)	-0.17 (-5.61 / -6.21)	-0.39 (5.17 / 7.11)	-0.05 (7.31 / 7.61)	-	-0.08 (2.4 / 2.58)	-0.01 (6 / 6.03)
 	Percentile (%)	63.162	65.926	73.472	-	57.083	59.825
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	FC (WS / NS)	-0.18 (-6.54 / -7.27)	1 (1 / 0)	0.2 (9.67 / 8.27)	-	-	-0.45 (3.17 / 4.71)
 	Percentile (%)	63.307	9.334	24.376	-	-	83.534
nitronate monooxygenase activity	FC (WS / NS)	-0.18 (-6.54 / -7.27)	-	-	0.16 (7.3 / 6.43)	0.07 (14.42 / 13.69)	0.18 (7.64 / 6.63)
 	Percentile (%)	63.379	-	-	25.714	27.955	26.842
ATPase activity	FC (WS / NS)	-0.18 (-0.62 / -0.57)	0.05 (11.7 / 11.29)	0.03 (18.62 / 18.25)	0.02 (12.15 / 11.96)	-0.02 (18.56 / 18.86)	0.01 (10.77 / 10.69)
 	Percentile (%)	63.452	40.441	43.03	46.921	47.561	55.84
acid-amino acid ligase activity	FC (WS / NS)	-0.18 (-6.14 / -6.82)	0.01 (8.19 / 8.15)	0.04 (11.77 / 11.42)	0.12 (8.91 / 8.11)	-0.12 (10.6 / 11.57)	0.07 (8.46 / 8)
 	Percentile (%)	63.524	45.846	40.421	29.365	60.929	41.88
secondary active transmembrane transporter activity	FC (WS / NS)	-0.18 (-4.16 / -4.59)	0.13 (7.8 / 7.02)	0.03 (15.81 / 15.41)	-0.16 (8.09 / 9.16)	-0.57 (5.9 / 9.24)	-0.06 (6.7 / 7.02)
 	Percentile (%)	63.669	33.266	41.497	67.206	77.814	64.937
phosphorelay response regulator activity	FC (WS / NS)	-0.19 (-7.47 / -8.37)	-0.53 (2.32 / 3.81)	-0.01 (11.49 / 11.62)	-0.13 (5.95 / 6.6)	1.49 (1.81 / 0)	-0.89 (1 / 2.71)
 	Percentile (%)	64.104	68.862	69.123	65.175	7.223	90.702
3-hydroxyacyl-CoA dehydrogenase activity	FC (WS / NS)	-0.19 (-9.1 / -10.24)	-	-0.24 (6.29 / 7.6)	-2.74 (0 / 5.7)	-3.74 (0 / 12.32)	-0.8 (3.17 / 6.28)
 	Percentile (%)	64.249	-	81.552	98.19	98.64	89.724
3-hydroxyisobutyryl-CoA hydrolase activity	FC (WS / NS)	-0.19 (-9.1 / -10.24)	-	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	64.322	-	-	-	-	42.406
enoyl-CoA hydratase activity	FC (WS / NS)	-0.19 (-9.1 / -10.24)	-	-0.24 (6.29 / 7.6)	1.14 (4.7 / 1.58)	0.26 (3.98 / 3.17)	0.98 (5.36 / 2.23)
 	Percentile (%)	64.394	-	81.575	6.54	14.259	7.444
cellulase activity	FC (WS / NS)	-0.19 (-8.57 / -9.64)	0.14 (0 / -0.09)	0.32 (8.49 / 6.63)	-	-	-
 	Percentile (%)	64.467	27.24	19.409	-	-	-
transporter activity	FC (WS / NS)	-0.19 (2.18 / 2.63)	0.02 (13.87 / 13.62)	0.01 (21.05 / 20.87)	0 (13.89 / 13.94)	-0.05 (19.19 / 19.83)	0.03 (11.41 / 11.19)
 	Percentile (%)	64.54	43.578	48.272	52.635	52.345	52.556
thiolester hydrolase activity	FC (WS / NS)	-0.2 (-4.44 / -4.94)	-	0.21 (10.21 / 8.71)	-	-	0.11 (6.38 / 5.81)
 	Percentile (%)	64.685	-	24.17	-	-	36.967
hydrolase activity, hydrolyzing O-glycosyl compounds	FC (WS / NS)	-0.2 (-6.48 / -7.28)	0.1 (5.32 / 4.91)	0.15 (13.63 / 12.21)	0.31 (9.52 / 7.51)	0.25 (9.82 / 8.1)	0.25 (9.06 / 7.48)
 	Percentile (%)	65.12	34.477	27.695	17.651	14.681	22.231
DNA-dependent ATPase activity	FC (WS / NS)	-0.2 (-7.2 / -8.12)	0.07 (8.83 / 8.36)	0.01 (12.91 / 12.84)	0.09 (8.13 / 7.61)	0.12 (14.82 / 13.51)	0 (8.46 / 8.47)
 	Percentile (%)	65.192	36.558	50.24	34.984	21.248	58.596
2-oxoglutarate synthase activity	FC (WS / NS)	-0.2 (-7.81 / -8.82)	-	-0.12 (9.94 / 10.93)	0.24 (6.83 / 5.64)	0.86 (0.81 / 0)	0.16 (5.21 / 4.55)
 	Percentile (%)	65.265	-	77.775	21.238	9.568	27.769
enoyl-[acyl-carrier-protein] reductase (NADH) activity	FC (WS / NS)	-0.2 (-5.65 / -6.36)	0.15 (7.22 / 6.4)	-0.02 (8.39 / 8.53)	-	0.07 (12.28 / 11.62)	0.12 (6.92 / 6.28)
 	Percentile (%)	65.41	24.957	70.405	-	26.782	36.341
phosphate butyryltransferase activity	FC (WS / NS)	-0.21 (-5.91 / -6.68)	-	0.04 (7.54 / 7.31)	-	-	-
 	Percentile (%)	65.7	-	40.764	-	-	-
copper ion binding	FC (WS / NS)	-0.21 (-8.17 / -9.31)	0.15 (5.78 / 5.11)	0.02 (9.99 / 9.81)	-	-2.2 (0 / 3.58)	-0.46 (3.46 / 5.15)
 	Percentile (%)	65.772	25.097	44.312	-	85.694	83.684
quinone binding	FC (WS / NS)	-0.21 (-8.17 / -9.31)	-	-0.22 (6.39 / 7.63)	-1.06 (1.58 / 4.39)	-3.21 (0 / 8.23)	-1.05 (2 / 5.19)
 	Percentile (%)	65.845	-	81.231	85.206	93.762	93.96
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	FC (WS / NS)	-0.21 (-5.54 / -6.27)	-	1 (1 / 0)	0.17 (8.49 / 7.43)	0.07 (14.42 / 13.69)	0.18 (7.64 / 6.63)
 	Percentile (%)	65.917	-	9.911	25.302	27.908	26.817
dioxygenase activity	FC (WS / NS)	-0.21 (-5.54 / -6.27)	-0.43 (1.58 / 2.49)	0.18 (10.69 / 9.32)	-	0.04 (12.23 / 11.82)	0 (8.38 / 8.4)
 	Percentile (%)	65.99	66.874	25.658	-	31.285	58.822
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	FC (WS / NS)	-0.21 (-6.53 / -7.41)	-0.05 (5.81 / 6.06)	0.6 (6.29 / 3.81)	-	0.17 (9.56 / 8.39)	0 (6.78 / 6.78)
 	Percentile (%)	66.062	55.692	14.58	-	17.824	57.769
UDP-N-acetylglucosamine 2-epimerase activity	FC (WS / NS)	-0.22 (-7.8 / -8.9)	0 (0 / 0)	0.35 (4.86 / 3.58)	-	0.1 (9.23 / 8.56)	0.28 (4.95 / 3.91)
 	Percentile (%)	66.642	47.554	18.471	-	24.484	20.351
DNA topoisomerase II activity	FC (WS / NS)	-0.22 (-10.36 / -11.88)	0.09 (6.73 / 6.25)	0.03 (9.01 / 8.78)	0.09 (7.06 / 6.58)	-	-
 	Percentile (%)	67.005	34.819	41.817	34.889	-	-
formate C-acetyltransferase activity	FC (WS / NS)	-0.22 (-5.07 / -5.74)	-0.33 (5.78 / 7.5)	-0.11 (8.15 / 8.87)	-0.13 (7.85 / 8.67)	-0.03 (16.82 / 17.18)	-0.1 (8.21 / 8.85)
 	Percentile (%)	67.078	64.684	77.02	65.302	48.546	68.07
DNA-binding transcription factor activity	FC (WS / NS)	-0.22 (-2.79 / -3.08)	0.02 (8.7 / 8.54)	0.02 (14.88 / 14.62)	0.07 (9.29 / 8.83)	0.05 (14.78 / 14.26)	0.02 (9.23 / 9.09)
 	Percentile (%)	67.15	43.811	44.015	38.476	30.394	53.81
carbohydrate binding	FC (WS / NS)	-0.22 (-6.05 / -6.87)	-0.97 (1.58 / 4.08)	0.01 (12.6 / 12.49)	0.15 (12.47 / 11.16)	0.11 (8.86 / 8.13)	-0.1 (6.7 / 7.25)
 	Percentile (%)	67.223	80.075	47.677	26.54	22.702	68.246
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity	FC (WS / NS)	-0.22 (-8.86 / -10.16)	-0.01 (6.67 / 6.75)	-0.05 (6.69 / 6.95)	-	0.08 (12.06 / 11.37)	-0.03 (7.02 / 7.17)
 	Percentile (%)	67.295	53.114	73.312	-	25.938	62.306
hydrolase activity, acting on glycosyl bonds	FC (WS / NS)	-0.22 (-5.66 / -6.43)	0.08 (7.17 / 6.71)	0.11 (14.88 / 13.73)	0.16 (10.06 / 8.92)	0.25 (9.84 / 8.13)	0.18 (9.2 / 8.02)
 	Percentile (%)	67.368	35.642	30.922	25.937	14.728	26.892
ribose-5-phosphate isomerase activity	FC (WS / NS)	-0.22 (-3.17 / -3.53)	0.52 (4.58 / 2.91)	0 (6.67 / 6.67)	-	0.1 (10.29 / 9.55)	-0.07 (4.81 / 5.11)
 	Percentile (%)	67.44	15.624	54.681	-	24.39	66.165
fumarate hydratase activity	FC (WS / NS)	-0.23 (-2.71 / -3.01)	0.21 (8.1 / 6.85)	0.18 (10.27 / 8.94)	0.1 (7.21 / 6.67)	-0.25 (10.21 / 12.31)	0.19 (8.69 / 7.49)
 	Percentile (%)	67.658	23.311	25.589	32.667	68.199	25.965
transferase activity, transferring hexosyl groups	FC (WS / NS)	-0.23 (-6.75 / -7.77)	-0.08 (7.33 / 7.81)	0.09 (12.88 / 12)	0.21 (10.26 / 8.76)	0.47 (14.56 / 10.22)	0.14 (9.49 / 8.54)
 	Percentile (%)	67.875	56.888	32.479	23.333	10.976	35.088
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	FC (WS / NS)	-0.24 (-8.52 / -9.85)	-1.1 (1.58 / 4.55)	-0.18 (4.25 / 4.95)	-	0.01 (10.86 / 10.73)	-0.2 (4.25 / 5.03)
 	Percentile (%)	68.6	81.068	79.675	-	38.462	73.784
uridylyltransferase activity	FC (WS / NS)	-0.24 (-4.82 / -5.51)	0.09 (7.91 / 7.39)	0.04 (8.87 / 8.61)	0.21 (6.55 / 5.52)	0.13 (13.08 / 11.87)	0.05 (7.15 / 6.85)
 	Percentile (%)	68.745	35.238	40.833	22.889	20.685	46.14
endonuclease activity	FC (WS / NS)	-0.24 (-7 / -8.08)	0.15 (8.1 / 7.2)	-0.09 (12.06 / 12.9)	0.09 (8.86 / 8.24)	0.05 (14.29 / 13.82)	0.06 (8.85 / 8.44)
 	Percentile (%)	68.818	25.082	76.036	33.524	31.004	45.138
biotin carboxylase activity	FC (WS / NS)	-0.24 (-4.9 / -5.61)	-2.34 (0 / 4.08)	-0.01 (11.44 / 11.54)	-	-0.91 (2.81 / 6.17)	0.47 (7.81 / 5.36)
 	Percentile (%)	68.891	92.965	68.322	-	80.769	13.91
alanine dehydrogenase activity	FC (WS / NS)	-0.24 (-8.36 / -9.7)	0.09 (6.36 / 5.91)	0.05 (6.27 / 6.02)	0.09 (6.41 / 5.95)	0.19 (13.79 / 11.98)	0.05 (6.43 / 6.15)
 	Percentile (%)	68.963	34.881	38.59	33.651	16.276	46.19
monooxygenase activity	FC (WS / NS)	-0.24 (-4.96 / -5.68)	0.2 (8.18 / 6.97)	-0.22 (6.38 / 7.6)	0.16 (9.08 / 8.01)	0.07 (14.42 / 13.69)	0.13 (7.86 / 7.1)
 	Percentile (%)	69.108	23.56	81.186	25.683	28.049	35.639
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity	FC (WS / NS)	-0.24 (-9.49 / -11.06)	0.85 (5.67 / 2.71)	0.12 (5.75 / 5.21)	0.21 (5.88 / 4.95)	-0.13 (11.07 / 12.17)	0.16 (6.19 / 5.43)
 	Percentile (%)	69.253	12.626	29.618	23.016	61.492	27.87
3-carboxy-cis,cis-muconate cycloisomerase activity	FC (WS / NS)	-0.24 (-9.49 / -11.06)	-	0.12 (5.75 / 5.21)	-	-	-
 	Percentile (%)	69.471	-	29.664	-	-	-
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity	FC (WS / NS)	-0.24 (-9.49 / -11.06)	-0.93 (0 / 0.91)	0.12 (5.75 / 5.21)	0.21 (5.88 / 4.95)	-0.13 (11.07 / 12.17)	0.16 (6.19 / 5.43)
 	Percentile (%)	69.543	78.817	29.686	23.079	61.538	27.895
propionyl-CoA carboxylase activity	FC (WS / NS)	-0.25 (-8.1 / -9.42)	0.17 (7.73 / 6.76)	-0.19 (7.29 / 8.46)	0.13 (6.54 / 5.88)	0.32 (3.98 / 3)	0.19 (6.17 / 5.3)
 	Percentile (%)	69.616	24.522	80.018	28.476	13.18	26.216
methylmalonyl-CoA carboxytransferase activity	FC (WS / NS)	-0.25 (-8.1 / -9.42)	-	-	-	0.32 (3.98 / 3)	0.15 (7.2 / 6.4)
 	Percentile (%)	69.688	-	-	-	13.227	29.073
4-hydroxy-tetrahydrodipicolinate reductase	FC (WS / NS)	-0.25 (-8.83 / -10.28)	2.49 (4.09 / -0.09)	0.72 (6.93 / 3.81)	0.79 (6.21 / 3.17)	0.03 (5.3 / 5.17)	-0.11 (5 / 5.46)
 	Percentile (%)	69.761	0.233	13.687	9.016	35.647	69.223
diaminopimelate dehydrogenase activity	FC (WS / NS)	-0.25 (-8.83 / -10.28)	-	0.85 (5.46 / 2.58)	0.76 (5.75 / 3)	0.27 (8.52 / 6.92)	0.72 (5.73 / 3.08)
 	Percentile (%)	69.833	-	12.703	9.429	13.602	9.549
deaminase activity	FC (WS / NS)	-0.25 (-6.55 / -7.59)	-0.35 (4.39 / 5.86)	-0.05 (11 / 11.41)	0.86 (5.04 / 2.32)	3.29 (8.8 / 0)	0.28 (5.67 / 4.49)
 	Percentile (%)	69.906	65.103	73.266	8.317	0.328	20.301
DNA-directed DNA polymerase activity	FC (WS / NS)	-0.25 (-7.4 / -8.6)	0.18 (6.23 / 5.4)	0.03 (10.96 / 10.74)	-	0.1 (11.28 / 10.47)	-0.03 (7.19 / 7.39)
 	Percentile (%)	69.978	24.336	43.259	-	24.203	63.108
phosphoglycerate mutase activity	FC (WS / NS)	-0.25 (-7.86 / -9.16)	-0.01 (7.75 / 7.78)	-0.02 (9.23 / 9.36)	-	0.08 (12.06 / 11.37)	0 (8.01 / 8.03)
 	Percentile (%)	70.123	52.632	70.085	-	25.891	59.424
transmembrane transporter activity	FC (WS / NS)	-0.25 (1.54 / 2.02)	0.03 (13.57 / 13.29)	0.02 (20.15 / 19.87)	0 (13.89 / 13.94)	-0.05 (19.19 / 19.83)	0.03 (11.35 / 11.14)
 	Percentile (%)	70.196	43.33	46.098	52.667	52.392	52.707
glutamate formimidoyltransferase activity	FC (WS / NS)	-0.25 (-8.91 / -10.43)	1.93 (2.81 / 0)	-0.24 (6.78 / 8.21)	-0.32 (5.43 / 7.04)	-0.03 (7.53 / 7.71)	-0.26 (5.52 / 6.79)
 	Percentile (%)	70.631	2.128	81.666	74.508	48.687	75.414
formimidoyltetrahydrofolate cyclodeaminase activity	FC (WS / NS)	-0.25 (-8.91 / -10.43)	-0.44 (2.81 / 4.15)	-0.24 (6.78 / 8.21)	-2.6 (0 / 5.04)	1.49 (1.81 / 0)	-0.28 (3.46 / 4.43)
 	Percentile (%)	70.703	67.029	81.689	96.508	7.974	76.14
phosphorylase activity	FC (WS / NS)	-0.26 (-8.73 / -10.25)	-0.97 (2.58 / 6.03)	0.18 (9.7 / 8.42)	0.17 (8.31 / 7.29)	0.59 (12.96 / 8.3)	0.27 (7.48 / 6.03)
 	Percentile (%)	70.921	79.966	25.521	25.46	10.319	20.702
S-methyl-5-thioadenosine phosphorylase activity	FC (WS / NS)	-0.26 (-8.73 / -10.25)	-	0.44 (5.21 / 3.58)	-	0.22 (4.81 / 4)	1.13 (3.17 / 0.91)
 	Percentile (%)	71.284	-	16.342	-	15.76	6.591
DNA polymerase activity	FC (WS / NS)	-0.26 (-7.08 / -8.28)	0.15 (7.23 / 6.4)	0.03 (12.03 / 11.81)	-	0.1 (11.28 / 10.47)	-0.04 (7.21 / 7.43)
 	Percentile (%)	71.719	24.88	43.694	-	24.25	63.609
acetaldehyde dehydrogenase (acetylating) activity	FC (WS / NS)	-0.26 (-7.28 / -8.54)	0.31 (3 / 2.23)	0.11 (7.43 / 6.81)	0.14 (7.37 / 6.61)	0.1 (14.58 / 13.57)	0.15 (7.38 / 6.53)
 	Percentile (%)	71.864	19.941	30.694	27.714	24.672	28.647
3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) activity	FC (WS / NS)	-0.26 (-9.84 / -11.62)	-	-	-	-	-
 	Percentile (%)	72.009	-	-	-	-	-
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	FC (WS / NS)	-0.27 (-4.54 / -5.27)	1.37 (1.58 / 0)	0.19 (10.67 / 9.27)	0.16 (9.08 / 8.02)	0.07 (14.42 / 13.69)	0.13 (7.7 / 6.97)
 	Percentile (%)	72.516	5.715	25.429	25.746	27.861	35.84
transferase activity, transferring aldehyde or ketonic groups	FC (WS / NS)	-0.27 (-7.52 / -8.85)	-0.2 (6.13 / 7.17)	0.02 (10.95 / 10.78)	-0.01 (4.81 / 4.86)	-0.02 (11.07 / 11.21)	-0.08 (6.95 / 7.44)
 	Percentile (%)	72.589	60.677	45.754	53.651	47.28	67.193
DNA topoisomerase type II (ATP-hydrolyzing) activity	FC (WS / NS)	-0.27 (-8.36 / -9.88)	0.09 (6.73 / 6.25)	0.03 (9.01 / 8.78)	0.09 (7.06 / 6.58)	0.18 (14.65 / 12.84)	0.06 (7.31 / 6.98)
 	Percentile (%)	72.661	34.804	41.794	34.857	17.12	45.614
asparagine synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.27 (-9.55 / -11.31)	-	0.05 (7.54 / 7.23)	-	-	-0.54 (1 / 1.91)
 	Percentile (%)	72.734	-	37.629	-	-	85.113
fatty acid synthase activity	FC (WS / NS)	-0.27 (-3.44 / -3.95)	0.03 (9.17 / 8.98)	0.03 (12.26 / 12.02)	-	0.02 (12.71 / 12.48)	0 (8.51 / 8.48)
 	Percentile (%)	72.951	43.283	43.168	-	36.961	57.093
intramolecular lyase activity	FC (WS / NS)	-0.27 (-8.49 / -10.06)	-	0.09 (7.81 / 7.29)	-	-	-
 	Percentile (%)	73.024	-	32.959	-	-	-
oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	FC (WS / NS)	-0.28 (-7.83 / -9.28)	-0.25 (8.48 / 10.29)	-0.14 (10.85 / 12.07)	-0.23 (9.36 / 11.12)	-0.02 (14.34 / 14.55)	-0.18 (8.39 / 9.64)
 	Percentile (%)	73.604	62.106	78.256	69.683	47.42	73.308
C-acetyltransferase activity	FC (WS / NS)	-0.28 (-4.07 / -4.74)	-0.51 (6.78 / 10.07)	-0.19 (10.15 / 11.75)	-0.23 (8.85 / 10.53)	-0.04 (16.82 / 17.28)	-0.1 (8.21 / 8.85)
 	Percentile (%)	74.112	68.458	80.156	69.841	49.109	68.12
ATP-dependent peptidase activity	FC (WS / NS)	-0.28 (-7.51 / -8.91)	-0.4 (4 / 5.58)	0.24 (10.82 / 9.04)	0.06 (7.92 / 7.58)	-0.62 (7.3 / 11.74)	-0.36 (4.81 / 6.43)
 	Percentile (%)	74.184	66.097	22.271	40.159	78.143	81.303
serine-type endopeptidase activity	FC (WS / NS)	-0.28 (-7.51 / -8.91)	-0.05 (5.75 / 5.97)	0.01 (11.24 / 11.14)	-	-0.25 (12.45 / 14.94)	0.01 (8.29 / 8.2)
 	Percentile (%)	74.257	55.381	47.906	-	67.917	55.138
formimidoyltransferase activity	FC (WS / NS)	-0.29 (-7.91 / -9.43)	2.27 (3.81 / 0)	-0.22 (7.78 / 9.21)	-0.28 (6.43 / 8.04)	-0.03 (7.53 / 7.71)	-0.26 (5.52 / 6.79)
 	Percentile (%)	74.402	0.777	81.025	72.413	48.64	75.388
purine-nucleoside phosphorylase activity	FC (WS / NS)	-0.29 (-4.64 / -5.44)	-1.5 (1 / 4.66)	0.09 (7.42 / 6.88)	-	0.26 (12.83 / 10.53)	0.07 (6.41 / 6.08)
 	Percentile (%)	74.474	85.246	32.364	-	13.743	44.411
DNA topoisomerase activity	FC (WS / NS)	-0.29 (-7.78 / -9.3)	0.06 (8.39 / 7.99)	0.04 (11.03 / 10.69)	0.07 (8.71 / 8.25)	0.18 (14.65 / 12.84)	0.07 (7.79 / 7.36)
 	Percentile (%)	74.837	38.313	40.238	37.492	17.073	41.679
catalytic activity, acting on DNA	FC (WS / NS)	-0.3 (-6.33 / -7.54)	0.06 (9.75 / 9.29)	0 (13.3 / 13.32)	0.03 (9.04 / 8.85)	0.08 (14.84 / 13.94)	0 (9.48 / 9.48)
 	Percentile (%)	75.199	38.422	65.53	45.587	25.516	58.221
amidine-lyase activity	FC (WS / NS)	-0.3 (-7.9 / -9.47)	0.55 (6.67 / 4.23)	0.1 (8.23 / 7.61)	0.16 (7.53 / 6.61)	-0.12 (12.07 / 13.17)	0.14 (7.3 / 6.52)
 	Percentile (%)	75.272	15.189	31.678	25.524	60.882	34.812
transcription regulator activity	FC (WS / NS)	-0.3 (-2.31 / -2.61)	0.01 (9.9 / 9.79)	0.02 (15.89 / 15.63)	-0.02 (9.96 / 10.14)	0.05 (14.81 / 14.26)	0.02 (9.46 / 9.28)
 	Percentile (%)	75.489	44.96	44.633	54.794	29.972	52.982
NADH dehydrogenase (ubiquinone) activity	FC (WS / NS)	-0.3 (-9.01 / -10.88)	-0.89 (2 / 4.55)	0.11 (10.03 / 9.24)	-1.13 (1.58 / 4.64)	-3.21 (0 / 8.23)	-0.31 (4.17 / 5.43)
