"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"65"	"Glyceraldehyde-3-phosphate dehydrogenase"	"Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)"	"response to toxic substance"	"Glutamine synthetase"	"regulation of DNA-templated transcription, termination"	"phosphoglycerate kinase activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; triose-phosphate isomerase activity; binding; ATP binding; intracellular; cell; cytoplasm; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; gluconeogenesis; glycolytic process; pentose-phosphate shunt; nucleobase-containing compound metabolic process; cellular aromatic compound metabolic process; coenzyme metabolic process; oxidoreduction coenzyme metabolic process; NADP metabolic process; NADPH regeneration; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; metabolic process; catabolic process; biosynthetic process; nucleotide metabolic process; cellular process; carbohydrate biosynthetic process; carbohydrate catabolic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, carboxyl group as acceptor; isomerase activity; intramolecular oxidoreductase activity; intramolecular oxidoreductase activity, interconverting aldoses and ketoses; purine nucleotide binding; hexose metabolic process; hexose biosynthetic process; hexose catabolic process; pyridine nucleotide metabolic process; organophosphate metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; cellular nitrogen compound metabolic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cellular metabolic process; primary metabolic process; small molecule metabolic process; intracellular part; cell part; NA; NA; NA; monosaccharide biosynthetic process; monosaccharide catabolic process; heterocycle metabolic process; nicotinamide nucleotide metabolic process; cofactor metabolic process; nucleobase-containing small molecule metabolic process; oxidation-reduction process; organic substance metabolic process; pyridine-containing compound metabolic process; organic cyclic compound binding; nucleoside phosphate binding; organic cyclic compound metabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organic substance catabolic process; organic substance biosynthetic process"
"66"	"pts system"	"Flagellar biosynthetic protein FliP"	"cell cortex part"	"Ribosome hibernation promoting factor"	"polyhedral organelle"	"catalytic activity; carbohydrate metabolic process; metabolic process; lyase activity; carbon-carbon lyase activity; aldehyde-lyase activity; primary metabolic process; phosphoketolase activity; organic substance metabolic process"
"67"	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)"	"Urea amidohydrolase subunit alpha"	"cytoskeleton"	"Formate acetyltransferase"	"phosphoglycolate phosphatase activity"	"organellar small ribosomal subunit; structural constituent of ribosome"
"68"	""	"levansucrase EC 2.4.1.10"	"septin cytoskeleton"	"ATP-dependent 6-phosphofructokinase"	"CTP:3'-cytidine-tRNA cytidylyltransferase activity"	"structural constituent of ribosome; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"69"	"acetolactate synthase"	"phosphomethylpyrimidine kinase"	"septin ring"	"Ribosome hibernation promoting factor"	"ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity"	"structural constituent of ribosome; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"70"	"Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)"	"aminopeptidase"	"septin ring assembly"	"Chaperone protein DnaK"	"CTP:tRNA cytidylyltransferase activity"	"catalytic activity; NA; cell communication; signal transduction; metabolic process; cellular process; oxidoreductase activity; signaling; NA; NA; NA; NA; regulation of biological process; regulation of cellular process; response to stimulus; cellular response to stimulus; oxidation-reduction process; molecular transducer activity; biological regulation"
"71"	"Aminopeptidase"	"P-type atpase"	"septin ring organization"	"Molecular chaperone DnaK (Fragment)"	"methanol dehydrogenase activity"	"catalytic activity; binding; iron ion binding; extracellular region; cell; organic acid metabolic process; generation of precursor metabolites and energy; coenzyme metabolic process; Mo-molybdopterin cofactor biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; metabolic process; formate dehydrogenase (NAD+) activity; nitrate reductase activity; electron transfer activity; biosynthetic process; coenzyme biosynthetic process; cellular process; formate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; oxidoreductase activity, acting on other nitrogenous compounds as donors; oxidoreductase activity, acting on the aldehyde or oxo group of donors; heterocycle biosynthetic process; protein metabolic process; organophosphate metabolic process; Mo-molybdopterin cofactor metabolic process; carboxylic acid metabolic process; electron transport chain; molybdenum ion binding; molybdopterin cofactor biosynthetic process; monocarboxylic acid metabolic process; nitrate metabolic process; nitrate assimilation; periplasmic space; ion binding; cation binding; macromolecule metabolic process; oxoacid metabolic process; molybdopterin cofactor metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; small molecule metabolic process; cell part; NA; heterocycle metabolic process; metal ion binding; transition metal ion binding; cofactor metabolic process; cofactor biosynthetic process; prosthetic group metabolic process; iron-sulfur cluster binding; 4 iron, 4 sulfur cluster binding; metal cluster binding; oxidation-reduction process; organic substance metabolic process; nitrogen cycle metabolic process; organophosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance biosynthetic process; reactive nitrogen species metabolic process"
"72"	"Acts as a chaperone (By similarity)"	"pseudouridine synthase activity"	"septin cytoskeleton organization"	"Chaperone protein DnaK"	"diacetyl reductase ((S)-acetoin forming) activity"	"6-phosphofructokinase activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; cytoplasm; cytosol; 6-phosphofructokinase complex; carbohydrate metabolic process; monosaccharide metabolic process; fructose 6-phosphate metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; glycolytic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; phosphofructokinase activity; catabolic process; cellular process; carbohydrate catabolic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor; purine nucleotide binding; carbohydrate kinase activity; hexose metabolic process; hexose catabolic process; organophosphate metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cation binding; NA; cellular metabolic process; primary metabolic process; cellular carbohydrate metabolic process; intracellular part; cytoplasmic part; cytosolic part; cell part; NA; NA; monosaccharide catabolic process; carbohydrate phosphorylation; metal ion binding; organic substance metabolic process; organic cyclic compound binding; carbohydrate derivative metabolic process; nucleoside phosphate binding; heterocyclic compound binding; organic substance catabolic process"
"73"	"modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)"	"Divisome component that associates with the complex late in its assembly, after the Z-ring is formed, and is dependent on DivIC and PBP2B for its recruitment to the divisome. Together with EzrA, is a key component of the system that regulates PBP1 localization during cell cycle progression. Its main role could be the removal of PBP1 from the cell pole after pole maturation is completed. Also contributes to the recruitment of PBP1 to the division complex. Not essential for septum formation (By similarity)"	"4-hydroxy-tetrahydrodipicolinate synthase"	"Chaperone protein DnaK"	"lipoteichoic acid biosynthetic process"	"phosphoglycerate kinase activity"
"74"	"3-dehydroquinate synthase"	"UPF0374 protein"	"toxin transporter activity"	"Chaperone protein DnaK"	"diaminopimelate dehydrogenase activity"	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; transporter activity; binding; ATP binding; intracellular; cell; cytoplasm; plasma membrane; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; purine nucleotide biosynthetic process; purine nucleotide catabolic process; NA; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; ATP biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; transport; ion transport; cation transport; NA; metabolic process; cation transmembrane transporter activity; proton-exporting ATPase activity, phosphorylative mechanism; catabolic process; biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside monophosphate metabolic process; nucleoside monophosphate biosynthetic process; nucleoside monophosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside monophosphate biosynthetic process; purine nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide biosynthetic process; purine ribonucleotide catabolic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside monophosphate catabolic process; ribonucleoside monophosphate metabolic process; nucleoside biosynthetic process; nucleoside catabolic process; nucleotide biosynthetic process; nucleotide catabolic process; purine ribonucleoside monophosphate metabolic process; purine ribonucleoside monophosphate biosynthetic process; purine ribonucleoside monophosphate catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide biosynthetic process; ribonucleotide catabolic process; cellular process; ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; monovalent inorganic cation transport; energy coupled proton transport, down electrochemical gradient; ATP synthesis coupled proton transport; energy coupled proton transmembrane transport, against electrochemical gradient; ATP hydrolysis coupled proton transport; NA; membrane; pyrophosphatase activity; proton-transporting two-sector ATPase complex; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; NA; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; aromatic compound catabolic process; organophosphate metabolic process; ribose phosphate metabolic process; cation-transporting ATPase activity; active transmembrane transporter activity; transmembrane transporter activity; inorganic cation transmembrane transporter activity; NA; NA; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; proton-transporting two-sector ATPase complex, catalytic domain; ion transmembrane transport; cellular nitrogen compound metabolic process; nucleobase-containing compound biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; purine nucleoside biosynthetic process; ribonucleoside catabolic process; ribonucleoside biosynthetic process; ATPase activity, coupled; ATPase coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of substances; plasma membrane ATP synthesis coupled proton transport; ion binding; anion binding; organelle; membrane-bounded organelle; intracellular organelle; intracellular membrane-bounded organelle; NA; ATPase activity, coupled to movement of substances; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; membrane part; cytoplasmic part; cell part; NA; NA; NA; NA; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATP synthase complex; proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside biosynthetic process; purine ribonucleoside catabolic process; ribose phosphate biosynthetic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; proton-transporting ATP synthase activity, rotational mechanism; localization; establishment of localization; transmembrane transport; nucleobase-containing small molecule metabolic process; organic substance metabolic process; cell periphery; purine-containing compound metabolic process; purine-containing compound biosynthetic process; purine-containing compound catabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process; glycosyl compound biosynthetic process"
"75"	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)"	"Transcriptional regulator, MarR Family"	"2-aminoadipate transaminase activity"	"Chaperone protein DnaK"	"S-adenosylmethioninamine biosynthetic process"	"GMP reductase activity; catalytic activity; nucleobase-containing compound metabolic process; purine nucleotide metabolic process; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; metabolic process; nucleotide metabolic process; cellular process; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H; oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor; organophosphate metabolic process; cellular nitrogen compound metabolic process; cellular metabolic process; primary metabolic process; small molecule metabolic process; NA; heterocycle metabolic process; nucleobase-containing small molecule metabolic process; oxidation-reduction process; organic substance metabolic process; purine-containing compound metabolic process; organic cyclic compound metabolic process; organonitrogen compound metabolic process"
"76"	"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)"	"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)"	"choline kinase activity"	"Chaperone protein DnaK"	"adenosylmethionine decarboxylase activity"	"organellar small ribosomal subunit; RNA binding; nucleic acid binding; structural constituent of ribosome; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; small ribosomal subunit; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"77"	"SufB sufD domain protein"	"cyclopropane-fatty-acyl-phospholipid synthase"	"antibiotic transporter activity"	"LAO/AO transport system ATPase"	"endodeoxyribonuclease activity, producing 5'-phosphomonoesters"	"pathogenesis; membrane; outer membrane; multi-organism process"
"78"	"DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"	"Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)"	"pyruvate dehydrogenase (quinone) activity"	"Ribosome hibernation promoting factor"	"tRNA thio-modification"	"pathogenesis; membrane; outer membrane; multi-organism process"
"79"	"Oligopeptide-binding protein"	"aspartic"	"methanol dehydrogenase activity"	"Ribosome hibernation promoting factor"	"glutamate-ammonia ligase activity"	"nucleic acid binding; DNA binding; binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; transcription, DNA-templated; regulation of transcription, DNA-templated; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; biosynthetic process; macromolecule biosynthetic process; regulation of biosynthetic process; cellular process; gene expression; regulation of gene expression; regulation of macromolecule biosynthetic process; RNA metabolic process; heterocycle biosynthetic process; regulation of nucleobase-containing compound metabolic process; regulation of metabolic process; aromatic compound biosynthetic process; regulation of cellular metabolic process; regulation of cellular biosynthetic process; RNA biosynthetic process; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound biosynthetic process; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular nitrogen compound biosynthetic process; intracellular part; cell part; heterocycle metabolic process; regulation of biological process; regulation of cellular process; regulation of nitrogen compound metabolic process; regulation of RNA metabolic process; regulation of macromolecule metabolic process; biological regulation; organic substance metabolic process; regulation of primary metabolic process; nucleic acid metabolic process; organic cyclic compound binding; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organic substance biosynthetic process; regulation of cellular macromolecule biosynthetic process; regulation of RNA biosynthetic process"
"80"	"Lipoprotein e(P4) family"	"domain protein"	"dipeptidyl-peptidase activity"	"Ribosome hibernation promoting factor"	"biotin carboxylase activity"	"catalytic activity; glucokinase activity; hexokinase activity; intracellular; cell; cytoplasm; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; glycolytic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; catabolic process; cellular process; carbohydrate catabolic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, alcohol group as acceptor; carbohydrate kinase activity; hexose metabolic process; hexose catabolic process; organophosphate metabolic process; cellular metabolic process; primary metabolic process; cellular carbohydrate metabolic process; intracellular part; cell part; NA; NA; monosaccharide catabolic process; carbohydrate phosphorylation; glucose 6-phosphate metabolic process; organic substance metabolic process; carbohydrate derivative metabolic process; organic substance catabolic process"
"81"	"Oligopeptide-binding protein"	"phosphoenolpyruvate--protein phosphotransferase"	"3-isopropylmalate dehydrogenase activity"	"Ribosome hibernation promoting factor"	"D-alanine:2-oxoglutarate aminotransferase activity"	"ethanolamine ammonia-lyase activity; catalytic activity; organic acid metabolic process; cellular amino acid metabolic process; nitrogen compound metabolic process; metabolic process; cellular process; lyase activity; carbon-nitrogen lyase activity; ammonia-lyase activity; carboxylic acid metabolic process; oxoacid metabolic process; cellular metabolic process; primary metabolic process; small molecule metabolic process; NA; organic substance metabolic process; organonitrogen compound metabolic process"
"82"	"oligoendopeptidase F"	"PTS system, galactitol-specific IIc component"	"protein serine/threonine/tyrosine kinase activity"	"Ribosome hibernation promoting factor"	"carbon fixation"	"mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); ATP metabolic process; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; transporter activity; binding; ATP binding; intracellular; cell; cytoplasm; plasma membrane; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; purine nucleotide biosynthetic process; purine nucleotide catabolic process; NA; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; ATP biosynthetic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; transport; ion transport; cation transport; NA; metabolic process; cation transmembrane transporter activity; proton-exporting ATPase activity, phosphorylative mechanism; catabolic process; biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside monophosphate metabolic process; nucleoside monophosphate biosynthetic process; nucleoside monophosphate catabolic process; purine nucleoside monophosphate metabolic process; purine nucleoside monophosphate biosynthetic process; purine nucleoside monophosphate catabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate biosynthetic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide biosynthetic process; purine ribonucleotide catabolic process; ribonucleoside monophosphate biosynthetic process; ribonucleoside monophosphate catabolic process; ribonucleoside monophosphate metabolic process; nucleoside biosynthetic process; nucleoside catabolic process; nucleotide biosynthetic process; nucleotide catabolic process; purine ribonucleoside monophosphate metabolic process; purine ribonucleoside monophosphate biosynthetic process; purine ribonucleoside monophosphate catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate biosynthetic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate biosynthetic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide biosynthetic process; ribonucleotide catabolic process; cellular process; ion transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; proton transmembrane transporter activity; primary active transmembrane transporter activity; P-P-bond-hydrolysis-driven transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; monovalent inorganic cation transport; energy coupled proton transport, down electrochemical gradient; ATP synthesis coupled proton transport; energy coupled proton transmembrane transport, against electrochemical gradient; ATP hydrolysis coupled proton transport; NA; membrane; pyrophosphatase activity; proton-transporting two-sector ATPase complex; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; NA; ATPase activity; purine nucleotide binding; nucleoside-triphosphatase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; aromatic compound catabolic process; organophosphate metabolic process; ribose phosphate metabolic process; cation-transporting ATPase activity; active transmembrane transporter activity; transmembrane transporter activity; inorganic cation transmembrane transporter activity; NA; NA; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; protein-containing complex; proton-transporting two-sector ATPase complex, catalytic domain; ion transmembrane transport; cellular nitrogen compound metabolic process; nucleobase-containing compound biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; purine nucleoside biosynthetic process; ribonucleoside catabolic process; ribonucleoside biosynthetic process; ATPase activity, coupled; ATPase coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of substances; plasma membrane ATP synthesis coupled proton transport; ion binding; anion binding; organelle; membrane-bounded organelle; intracellular organelle; intracellular membrane-bounded organelle; NA; ATPase activity, coupled to movement of substances; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; membrane part; cytoplasmic part; cell part; NA; NA; NA; NA; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATP synthase complex; proton-transporting ATP synthase complex, catalytic core F(1); purine ribonucleoside metabolic process; purine ribonucleoside biosynthetic process; purine ribonucleoside catabolic process; ribose phosphate biosynthetic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; proton-transporting ATP synthase activity, rotational mechanism; localization; establishment of localization; transmembrane transport; nucleobase-containing small molecule metabolic process; organic substance metabolic process; cell periphery; purine-containing compound metabolic process; purine-containing compound biosynthetic process; purine-containing compound catabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process; glycosyl compound biosynthetic process"
"83"	"Domain of unknown function (DUF2088)"	"receptor"	"antibiotic transport"	"30S ribosomal protein S5"	"iron-sulfur cluster assembly"	"histidine ammonia-lyase activity; catalytic activity; intracellular; cell; cytoplasm; organic acid metabolic process; cellular amino acid metabolic process; glutamate metabolic process; histidine metabolic process; histidine catabolic process; L-phenylalanine metabolic process; L-phenylalanine catabolic process; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; catabolic process; biosynthetic process; cellular amino acid catabolic process; glutamine family amino acid metabolic process; aromatic amino acid family metabolic process; aromatic amino acid family catabolic process; phenylpropanoid metabolic process; phenylpropanoid biosynthetic process; cinnamic acid biosynthetic process; cinnamic acid metabolic process; cellular process; formate metabolic process; organic acid biosynthetic process; organic acid catabolic process; lyase activity; carbon-nitrogen lyase activity; ammonia-lyase activity; aromatic compound biosynthetic process; aromatic compound catabolic process; histidine catabolic process to glutamate and formamide; histidine catabolic process to glutamate and formate; secondary metabolic process; carboxylic acid metabolic process; monocarboxylic acid metabolic process; cellular nitrogen compound metabolic process; benzene-containing compound metabolic process; oxoacid metabolic process; cellular amide metabolic process; formamide metabolic process; dicarboxylic acid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; intracellular part; cell part; secondary metabolite biosynthetic process; NA; NA; NA; phenylalanine ammonia-lyase activity; carboxylic acid biosynthetic process; carboxylic acid catabolic process; heterocycle metabolic process; heterocycle catabolic process; imidazole-containing compound metabolic process; imidazole-containing compound catabolic process; organic substance metabolic process; monocarboxylic acid biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; organic cyclic compound biosynthetic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process; erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process"
"84"	"Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation"	"4Fe-4S ferredoxin, iron-sulfur binding"	"toxin transport"	"Ribosome hibernation promoting factor"	"thioredoxin peroxidase activity"	"phosphoenolpyruvate carboxykinase (ATP) activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; phosphoenolpyruvate carboxykinase activity; binding; ATP binding; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; gluconeogenesis; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; biosynthetic process; cellular process; carbohydrate biosynthetic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; lyase activity; carbon-carbon lyase activity; carboxy-lyase activity; purine nucleotide binding; hexose metabolic process; hexose biosynthetic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cellular metabolic process; primary metabolic process; NA; monosaccharide biosynthetic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
